True,Date
589.0,21-Oct-2016
581.0,24-Oct-2016
581.0,25-Oct-2016
605.0,26-Oct-2016
600.0,27-Oct-2016
585.5,28-Oct-2016
589.0,31-Oct-2016
579.0,01-Nov-2016
608.9,02-Nov-2016
610.0,03-Nov-2016
601.2,04-Nov-2016
610.0,07-Nov-2016
621.0,08-Nov-2016
620.0,09-Nov-2016
655.0,10-Nov-2016
619.97,11-Nov-2016
620.9,14-Nov-2016
626.0,15-Nov-2016
625.0,16-Nov-2016
626.5,17-Nov-2016
622.1,18-Nov-2016
620.15,21-Nov-2016
627.0,22-Nov-2016
633.0,23-Nov-2016
654.0,24-Nov-2016
642.1,25-Nov-2016
636.21,28-Nov-2016
639.0,29-Nov-2016
638.3,30-Nov-2016
663.0,01-Dec-2016
645.0,02-Dec-2016
673.0,05-Dec-2016
685.0,06-Dec-2016
681.89,07-Dec-2016
661.0,08-Dec-2016
678.98,09-Dec-2016
678.98,13-Dec-2016
699.0,14-Dec-2016
691.11,15-Dec-2016
705.06,16-Dec-2016
713.95,19-Dec-2016
708.0,20-Dec-2016
705.0,21-Dec-2016
700.0,22-Dec-2016
686.0,23-Dec-2016
685.0,26-Dec-2016
684.0,27-Dec-2016
680.0,28-Dec-2016
684.9,29-Dec-2016
683.0,30-Dec-2016
687.0,02-Jan-2017
696.0,03-Jan-2017
692.0,04-Jan-2017
692.5,05-Jan-2017
688.0,06-Jan-2017
691.9,09-Jan-2017
680.0,10-Jan-2017
679.99,11-Jan-2017
680.0,12-Jan-2017
680.0,13-Jan-2017
680.0,16-Jan-2017
672.32,17-Jan-2017
665.0,18-Jan-2017
674.99,19-Jan-2017
696.5,20-Jan-2017
714.15,23-Jan-2017
725.0,24-Jan-2017
722.0,25-Jan-2017
758.0,26-Jan-2017
755.0,27-Jan-2017
700.05,30-Jan-2017
676.0,31-Jan-2017
675.01,01-Feb-2017
674.95,02-Feb-2017
671.0,03-Feb-2017
665.0,06-Feb-2017
666.67,07-Feb-2017
670.0,08-Feb-2017
660.0,09-Feb-2017
643.32,10-Feb-2017
649.1,13-Feb-2017
641.1,14-Feb-2017
636.25,15-Feb-2017
631.0,16-Feb-2017
632.0,17-Feb-2017
664.0,20-Feb-2017
645.12,21-Feb-2017
645.99,22-Feb-2017
634.07,23-Feb-2017
645.0,24-Feb-2017
632.1,27-Feb-2017
620.0,28-Feb-2017
630.0,01-Mar-2017
651.0,02-Mar-2017
643.0,03-Mar-2017
635.0,06-Mar-2017
636.0,07-Mar-2017
648.05,08-Mar-2017
650.0,09-Mar-2017
640.5,10-Mar-2017
640.1,13-Mar-2017
631.05,14-Mar-2017
626.0,15-Mar-2017
623.1,16-Mar-2017
647.0,17-Mar-2017
644.05,20-Mar-2017
643.41,21-Mar-2017
647.0,22-Mar-2017
646.0,24-Mar-2017
641.0,27-Mar-2017
644.99,28-Mar-2017
644.8,29-Mar-2017
643.0,30-Mar-2017
628.5,31-Mar-2017
635.5,03-Apr-2017
635.0,04-Apr-2017
630.0,05-Apr-2017
618.0,06-Apr-2017
618.99,07-Apr-2017
629.0,10-Apr-2017
626.99,11-Apr-2017
634.0,12-Apr-2017
630.0,13-Apr-2017
630.0,14-Apr-2017
626.9,17-Apr-2017
615.0,18-Apr-2017
611.0,19-Apr-2017
628.0,20-Apr-2017
649.9,21-Apr-2017
