True,Date
393.95,18-May-2016
394.95,19-May-2016
394.99,20-May-2016
394.88,23-May-2016
393.0,24-May-2016
394.85,25-May-2016
395.0,26-May-2016
392.0,27-May-2016
392.5,30-May-2016
393.5,31-May-2016
388.0,01-Jun-2016
392.0,02-Jun-2016
394.0,03-Jun-2016
399.0,06-Jun-2016
398.9,07-Jun-2016
400.5,08-Jun-2016
376.0,09-Jun-2016
384.9,10-Jun-2016
371.0,13-Jun-2016
379.99,14-Jun-2016
380.8,15-Jun-2016
370.0,16-Jun-2016
364.0,17-Jun-2016
373.0,20-Jun-2016
372.0,21-Jun-2016
370.0,23-Jun-2016
370.0,24-Jun-2016
370.6,27-Jun-2016
370.0,28-Jun-2016
373.0,29-Jun-2016
370.0,30-Jun-2016
370.0,04-Jul-2016
371.0,11-Jul-2016
368.05,12-Jul-2016
375.89,13-Jul-2016
373.0,14-Jul-2016
377.9,15-Jul-2016
380.0,18-Jul-2016
378.02,19-Jul-2016
387.0,20-Jul-2016
387.0,21-Jul-2016
388.0,22-Jul-2016
399.0,25-Jul-2016
393.1,26-Jul-2016
393.5,27-Jul-2016
397.5,28-Jul-2016
399.0,29-Jul-2016
400.0,01-Aug-2016
397.1,02-Aug-2016
399.5,03-Aug-2016
402.0,04-Aug-2016
402.0,05-Aug-2016
401.99,08-Aug-2016
399.9,09-Aug-2016
404.9,10-Aug-2016
404.99,11-Aug-2016
399.5,12-Aug-2016
401.0,15-Aug-2016
407.0,16-Aug-2016
407.0,17-Aug-2016
405.0,18-Aug-2016
405.0,19-Aug-2016
405.5,22-Aug-2016
404.35,23-Aug-2016
404.0,24-Aug-2016
401.0,25-Aug-2016
401.0,26-Aug-2016
416.0,29-Aug-2016
424.0,30-Aug-2016
447.99,31-Aug-2016
465.0,01-Sep-2016
471.0,02-Sep-2016
462.0,05-Sep-2016
459.0,06-Sep-2016
470.0,07-Sep-2016
470.45,08-Sep-2016
479.99,09-Sep-2016
485.0,15-Sep-2016
487.0,16-Sep-2016
493.0,19-Sep-2016
507.0,20-Sep-2016
504.0,21-Sep-2016
505.9,22-Sep-2016
490.0,23-Sep-2016
499.0,26-Sep-2016
475.0,27-Sep-2016
498.99,28-Sep-2016
500.0,29-Sep-2016
485.0,30-Sep-2016
486.0,03-Oct-2016
500.0,04-Oct-2016
500.0,05-Oct-2016
540.0,06-Oct-2016
525.0,07-Oct-2016
517.01,10-Oct-2016
539.0,13-Oct-2016
555.0,14-Oct-2016
610.0,17-Oct-2016
585.0,18-Oct-2016
609.99,19-Oct-2016
594.0,20-Oct-2016
600.0,21-Oct-2016
604.98,24-Oct-2016
561.11,25-Oct-2016
561.5,26-Oct-2016
550.0,27-Oct-2016
506.2,28-Oct-2016
507.5,31-Oct-2016
539.0,01-Nov-2016
569.99,02-Nov-2016
597.0,03-Nov-2016
581.5,04-Nov-2016
597.0,07-Nov-2016
590.0,08-Nov-2016
565.0,09-Nov-2016
608.0,10-Nov-2016
600.0,11-Nov-2016
608.99,14-Nov-2016
599.0,15-Nov-2016
599.99,16-Nov-2016
585.02,17-Nov-2016
584.0,18-Nov-2016
583.0,21-Nov-2016
577.0,22-Nov-2016
561.16,23-Nov-2016
560.0,24-Nov-2016
568.0,25-Nov-2016
561.0,28-Nov-2016
561.0,29-Nov-2016
578.0,30-Nov-2016
576.0,01-Dec-2016
568.01,02-Dec-2016
575.0,05-Dec-2016
572.0,06-Dec-2016
578.0,07-Dec-2016
572.5,08-Dec-2016
580.0,09-Dec-2016
571.0,13-Dec-2016
562.0,14-Dec-2016
574.9,15-Dec-2016
582.0,16-Dec-2016
582.0,19-Dec-2016
591.0,20-Dec-2016
575.01,21-Dec-2016
580.0,22-Dec-2016
584.8,23-Dec-2016
590.0,26-Dec-2016
590.0,27-Dec-2016
580.61,28-Dec-2016
578.0,29-Dec-2016
588.0,30-Dec-2016
588.0,02-Jan-2017
580.1,03-Jan-2017
590.0,04-Jan-2017
590.0,05-Jan-2017
609.99,06-Jan-2017
612.0,09-Jan-2017
600.06,10-Jan-2017
600.15,11-Jan-2017
606.0,12-Jan-2017
605.01,13-Jan-2017
600.0,16-Jan-2017
605.0,17-Jan-2017
598.0,18-Jan-2017
604.0,19-Jan-2017
609.0,20-Jan-2017
615.0,23-Jan-2017
609.99,24-Jan-2017
614.9,25-Jan-2017
610.11,26-Jan-2017
610.0,27-Jan-2017
645.0,30-Jan-2017
590.0,31-Jan-2017
590.0,01-Feb-2017
588.0,02-Feb-2017
589.0,03-Feb-2017
582.5,06-Feb-2017
590.0,07-Feb-2017
593.0,08-Feb-2017
596.0,09-Feb-2017
589.6,10-Feb-2017
588.0,13-Feb-2017
593.0,14-Feb-2017
575.0,15-Feb-2017
561.0,16-Feb-2017
571.0,17-Feb-2017
576.0,20-Feb-2017
578.0,21-Feb-2017
573.0,22-Feb-2017
579.99,23-Feb-2017
575.0,24-Feb-2017
575.8,27-Feb-2017
573.0,28-Feb-2017
563.11,01-Mar-2017
580.0,02-Mar-2017
586.5,03-Mar-2017
594.95,06-Mar-2017
580.0,07-Mar-2017
591.0,08-Mar-2017
585.0,09-Mar-2017
575.01,10-Mar-2017
586.9,13-Mar-2017
572.25,14-Mar-2017
575.0,15-Mar-2017
574.95,16-Mar-2017
575.0,20-Mar-2017
571.25,21-Mar-2017
578.0,22-Mar-2017
575.0,24-Mar-2017
