True,Date
16.99,24-May-2016
16.63,25-May-2016
16.78,26-May-2016
16.5,27-May-2016
16.55,30-May-2016
16.18,31-May-2016
16.25,01-Jun-2016
16.52,02-Jun-2016
16.57,03-Jun-2016
16.05,06-Jun-2016
15.95,07-Jun-2016
15.91,08-Jun-2016
15.81,09-Jun-2016
15.35,10-Jun-2016
14.7,13-Jun-2016
14.55,14-Jun-2016
14.9,15-Jun-2016
15.68,16-Jun-2016
15.8,17-Jun-2016
15.25,20-Jun-2016
14.84,21-Jun-2016
12.95,22-Jun-2016
13.44,23-Jun-2016
14.7,24-Jun-2016
14.86,27-Jun-2016
14.99,28-Jun-2016
14.9,29-Jun-2016
14.75,30-Jun-2016
14.64,04-Jul-2016
14.72,11-Jul-2016
15.69,12-Jul-2016
15.82,13-Jul-2016
15.5,14-Jul-2016
16.25,15-Jul-2016
16.11,18-Jul-2016
16.16,19-Jul-2016
16.21,20-Jul-2016
16.33,21-Jul-2016
16.11,22-Jul-2016
16.14,25-Jul-2016
16.15,26-Jul-2016
16.55,27-Jul-2016
15.25,28-Jul-2016
15.6,29-Jul-2016
15.84,01-Aug-2016
16.3,02-Aug-2016
17.1,03-Aug-2016
16.74,04-Aug-2016
17.1,05-Aug-2016
16.59,08-Aug-2016
16.4,09-Aug-2016
16.54,10-Aug-2016
16.7,11-Aug-2016
17.3,12-Aug-2016
17.5,15-Aug-2016
18.8,16-Aug-2016
18.45,17-Aug-2016
18.01,18-Aug-2016
17.58,19-Aug-2016
17.95,22-Aug-2016
17.99,23-Aug-2016
17.75,24-Aug-2016
18.06,25-Aug-2016
18.74,26-Aug-2016
20.01,29-Aug-2016
21.1,30-Aug-2016
20.85,31-Aug-2016
21.35,01-Sep-2016
20.95,02-Sep-2016
22.1,05-Sep-2016
22.35,06-Sep-2016
23.75,07-Sep-2016
25.5,08-Sep-2016
26.77,09-Sep-2016
24.12,15-Sep-2016
24.1,16-Sep-2016
26.28,19-Sep-2016
27.59,20-Sep-2016
25.35,21-Sep-2016
25.4,22-Sep-2016
26.64,23-Sep-2016
28.37,26-Sep-2016
28.99,27-Sep-2016
27.12,28-Sep-2016
27.01,29-Sep-2016
26.2,30-Sep-2016
27.68,03-Oct-2016
29.06,04-Oct-2016
30.1,05-Oct-2016
32.03,06-Oct-2016
32.25,07-Oct-2016
30.83,10-Oct-2016
31.49,13-Oct-2016
31.9,14-Oct-2016
32.6,17-Oct-2016
33.97,18-Oct-2016
33.7,19-Oct-2016
34.5,20-Oct-2016
34.05,21-Oct-2016
35.0,24-Oct-2016
33.0,25-Oct-2016
32.15,26-Oct-2016
30.01,27-Oct-2016
28.4,28-Oct-2016
31.59,31-Oct-2016
32.19,01-Nov-2016
34.25,02-Nov-2016
33.4,03-Nov-2016
30.75,04-Nov-2016
31.71,07-Nov-2016
32.31,08-Nov-2016
32.01,09-Nov-2016
35.19,10-Nov-2016
36.15,11-Nov-2016
36.6,14-Nov-2016
35.55,15-Nov-2016
36.18,16-Nov-2016
36.95,17-Nov-2016
37.26,18-Nov-2016
37.26,21-Nov-2016
36.29,22-Nov-2016
36.72,23-Nov-2016
37.25,24-Nov-2016
37.8,25-Nov-2016
36.75,28-Nov-2016
35.48,29-Nov-2016
34.95,30-Nov-2016
34.5,01-Dec-2016
33.03,02-Dec-2016
33.9,05-Dec-2016
33.6,06-Dec-2016
34.46,07-Dec-2016
33.99,08-Dec-2016
37.33,09-Dec-2016
36.49,13-Dec-2016
37.1,14-Dec-2016
36.0,15-Dec-2016
34.6,16-Dec-2016
35.29,19-Dec-2016
35.11,20-Dec-2016
34.2,21-Dec-2016
32.87,22-Dec-2016
32.45,23-Dec-2016
34.89,26-Dec-2016
36.95,27-Dec-2016
37.74,28-Dec-2016
39.0,29-Dec-2016
41.0,30-Dec-2016
39.2,02-Jan-2017
39.85,03-Jan-2017
39.6,04-Jan-2017
39.0,05-Jan-2017
37.18,06-Jan-2017
38.0,09-Jan-2017
38.2,10-Jan-2017
38.0,11-Jan-2017
37.7,12-Jan-2017
39.0,13-Jan-2017
39.5,16-Jan-2017
38.88,17-Jan-2017
38.39,18-Jan-2017
37.2,19-Jan-2017
39.0,20-Jan-2017
38.87,23-Jan-2017
38.5,24-Jan-2017
37.5,25-Jan-2017
37.03,26-Jan-2017
38.0,27-Jan-2017
36.55,30-Jan-2017
34.9,31-Jan-2017
35.1,01-Feb-2017
36.0,02-Feb-2017
35.3,03-Feb-2017
34.0,06-Feb-2017
34.0,07-Feb-2017
34.4,08-Feb-2017
34.13,09-Feb-2017
35.99,10-Feb-2017
37.9,13-Feb-2017
35.5,14-Feb-2017
34.79,15-Feb-2017
35.99,16-Feb-2017
34.2,17-Feb-2017
34.48,20-Feb-2017
33.4,21-Feb-2017
34.5,22-Feb-2017
32.42,23-Feb-2017
29.9,24-Feb-2017
28.8,27-Feb-2017
27.65,28-Feb-2017
26.59,01-Mar-2017
27.2,02-Mar-2017
28.0,03-Mar-2017
26.82,06-Mar-2017
25.41,07-Mar-2017
26.0,08-Mar-2017
27.35,09-Mar-2017
26.61,10-Mar-2017
26.19,13-Mar-2017
25.3,14-Mar-2017
25.0,15-Mar-2017
24.9,16-Mar-2017
24.55,17-Mar-2017
24.52,20-Mar-2017
24.31,21-Mar-2017
25.75,22-Mar-2017
25.7,24-Mar-2017
26.8,27-Mar-2017
26.7,28-Mar-2017
26.24,29-Mar-2017
24.98,30-Mar-2017
23.95,31-Mar-2017
24.3,03-Apr-2017
22.95,04-Apr-2017
23.3,05-Apr-2017
22.2,06-Apr-2017
20.54,07-Apr-2017
22.51,10-Apr-2017
21.75,11-Apr-2017
22.9,12-Apr-2017
22.75,13-Apr-2017
22.14,14-Apr-2017
22.09,17-Apr-2017
21.25,18-Apr-2017
20.11,19-Apr-2017
21.29,20-Apr-2017
22.5,21-Apr-2017
23.29,24-Apr-2017
24.15,25-Apr-2017
24.99,26-Apr-2017
25.75,27-Apr-2017
26.59,28-Apr-2017
24.94,02-May-2017
24.2,03-May-2017
23.8,04-May-2017
23.91,05-May-2017
24.18,08-May-2017
24.5,09-May-2017
25.85,10-May-2017
27.4,11-May-2017
27.95,12-May-2017
27.0,15-May-2017
26.75,16-May-2017
27.0,17-May-2017
26.5,18-May-2017
25.75,19-May-2017
26.1,22-May-2017
25.95,23-May-2017
25.48,24-May-2017
24.69,25-May-2017
24.5,26-May-2017
23.9,29-May-2017
23.6,30-May-2017
23.75,31-May-2017
23.1,01-Jun-2017
22.0,02-Jun-2017
22.59,05-Jun-2017
23.58,06-Jun-2017
23.89,07-Jun-2017
23.6,08-Jun-2017
23.15,09-Jun-2017
22.8,12-Jun-2017
22.2,13-Jun-2017
21.35,14-Jun-2017
20.22,15-Jun-2017
20.5,16-Jun-2017
20.76,19-Jun-2017
21.06,20-Jun-2017
19.24,21-Jun-2017
19.49,22-Jun-2017
18.99,29-Jun-2017
19.25,30-Jun-2017
19.9,03-Jul-2017
18.71,04-Jul-2017
19.27,05-Jul-2017
19.0,06-Jul-2017
18.11,07-Jul-2017
18.5,10-Jul-2017
18.9,11-Jul-2017
18.25,12-Jul-2017
18.69,13-Jul-2017
18.6,14-Jul-2017
18.12,17-Jul-2017
18.35,18-Jul-2017
19.12,19-Jul-2017
20.13,20-Jul-2017
19.07,21-Jul-2017
20.1,24-Jul-2017
20.31,25-Jul-2017
21.49,26-Jul-2017
21.35,27-Jul-2017
20.11,28-Jul-2017
22.5,31-Jul-2017
21.69,01-Aug-2017
22.15,02-Aug-2017
22.95,03-Aug-2017
23.08,04-Aug-2017
22.55,07-Aug-2017
21.4,08-Aug-2017
20.61,09-Aug-2017
21.85,10-Aug-2017
21.0,11-Aug-2017
21.25,15-Aug-2017
19.9,16-Aug-2017
20.21,17-Aug-2017
19.34,18-Aug-2017
18.88,21-Aug-2017
17.75,22-Aug-2017
17.2,23-Aug-2017
18.25,24-Aug-2017
16.8,25-Aug-2017
17.5,28-Aug-2017
17.55,29-Aug-2017
16.66,30-Aug-2017
16.95,31-Aug-2017
17.17,05-Sep-2017
17.9,06-Sep-2017
17.2,07-Sep-2017
16.75,08-Sep-2017
17.03,11-Sep-2017
16.61,12-Sep-2017
16.49,13-Sep-2017
16.6,14-Sep-2017
16.9,15-Sep-2017
17.18,18-Sep-2017
17.08,19-Sep-2017
17.25,20-Sep-2017
17.8,21-Sep-2017
17.24,22-Sep-2017
17.14,25-Sep-2017
17.0,26-Sep-2017
16.55,27-Sep-2017
16.65,28-Sep-2017
17.0,29-Sep-2017
17.2,02-Oct-2017
17.05,03-Oct-2017
16.25,04-Oct-2017
15.5,05-Oct-2017
15.25,06-Oct-2017
16.35,09-Oct-2017
15.5,10-Oct-2017
15.15,11-Oct-2017
14.8,12-Oct-2017
13.6,13-Oct-2017
13.11,16-Oct-2017
13.72,17-Oct-2017
13.27,18-Oct-2017
13.24,19-Oct-2017
14.25,20-Oct-2017
14.31,23-Oct-2017
13.55,24-Oct-2017
13.25,25-Oct-2017
13.34,26-Oct-2017
12.82,27-Oct-2017
12.7,30-Oct-2017
12.3,31-Oct-2017
12.41,01-Nov-2017
12.35,02-Nov-2017
12.4,03-Nov-2017
12.35,06-Nov-2017
11.86,07-Nov-2017
11.82,08-Nov-2017
12.32,09-Nov-2017
13.02,10-Nov-2017
12.6,13-Nov-2017
12.4,14-Nov-2017
12.6,15-Nov-2017
12.7,16-Nov-2017
12.35,17-Nov-2017
12.79,20-Nov-2017
12.5,21-Nov-2017
12.45,22-Nov-2017
12.3,23-Nov-2017
12.15,24-Nov-2017
11.95,27-Nov-2017
12.19,28-Nov-2017
12.0,29-Nov-2017
12.29,30-Nov-2017
12.2,04-Dec-2017
12.25,05-Dec-2017
13.51,06-Dec-2017
14.7,07-Dec-2017
14.9,08-Dec-2017
13.8,11-Dec-2017
12.75,12-Dec-2017
12.64,13-Dec-2017
13.94,14-Dec-2017
12.8,15-Dec-2017
13.35,18-Dec-2017
12.95,19-Dec-2017
12.15,20-Dec-2017
12.14,21-Dec-2017
12.85,22-Dec-2017
14.79,26-Dec-2017
15.79,27-Dec-2017
16.79,28-Dec-2017
17.79,29-Dec-2017
17.2,01-Jan-2018
18.09,02-Jan-2018
18.23,03-Jan-2018
17.75,04-Jan-2018
19.96,05-Jan-2018
20.96,08-Jan-2018
