True,Date
4.1,01-Nov-2016
4.15,02-Nov-2016
4.25,03-Nov-2016
4.35,04-Nov-2016
4.1,07-Nov-2016
4.05,08-Nov-2016
4.0,09-Nov-2016
4.23,10-Nov-2016
4.39,11-Nov-2016
5.0,14-Nov-2016
4.4,15-Nov-2016
4.52,16-Nov-2016
4.98,17-Nov-2016
5.73,18-Nov-2016
5.2,21-Nov-2016
5.15,22-Nov-2016
5.0,23-Nov-2016
5.29,24-Nov-2016
6.35,25-Nov-2016
6.0,28-Nov-2016
7.4,29-Nov-2016
7.79,30-Nov-2016
7.48,01-Dec-2016
7.19,02-Dec-2016
7.0,05-Dec-2016
7.0,06-Dec-2016
6.76,07-Dec-2016
6.54,08-Dec-2016
6.51,09-Dec-2016
7.0,13-Dec-2016
6.52,14-Dec-2016
6.9,15-Dec-2016
6.7,16-Dec-2016
6.95,19-Dec-2016
6.5,20-Dec-2016
6.4,21-Dec-2016
6.44,22-Dec-2016
7.34,23-Dec-2016
8.3,26-Dec-2016
8.09,27-Dec-2016
7.1,28-Dec-2016
7.06,29-Dec-2016
6.75,30-Dec-2016
6.7,02-Jan-2017
6.76,03-Jan-2017
6.71,04-Jan-2017
6.71,05-Jan-2017
6.84,06-Jan-2017
6.89,09-Jan-2017
6.6,10-Jan-2017
7.0,11-Jan-2017
8.45,12-Jan-2017
8.97,13-Jan-2017
8.5,16-Jan-2017
8.26,17-Jan-2017
7.75,18-Jan-2017
7.76,19-Jan-2017
7.9,20-Jan-2017
7.98,23-Jan-2017
7.7,24-Jan-2017
7.85,25-Jan-2017
7.86,26-Jan-2017
8.3,27-Jan-2017
8.01,30-Jan-2017
8.0,31-Jan-2017
7.73,01-Feb-2017
7.9,02-Feb-2017
7.5,03-Feb-2017
7.21,06-Feb-2017
6.81,07-Feb-2017
7.51,08-Feb-2017
7.5,09-Feb-2017
7.41,10-Feb-2017
7.88,13-Feb-2017
7.21,14-Feb-2017
7.22,15-Feb-2017
6.41,16-Feb-2017
7.03,17-Feb-2017
7.01,20-Feb-2017
7.13,21-Feb-2017
6.88,22-Feb-2017
6.79,23-Feb-2017
7.0,24-Feb-2017
6.22,28-Feb-2017
6.76,02-Mar-2017
7.11,03-Mar-2017
6.75,06-Mar-2017
6.42,07-Mar-2017
6.5,09-Mar-2017
6.63,10-Mar-2017
6.14,14-Mar-2017
6.5,15-Mar-2017
6.11,16-Mar-2017
6.31,17-Mar-2017
6.15,20-Mar-2017
6.31,21-Mar-2017
6.46,22-Mar-2017
7.28,24-Mar-2017
6.55,27-Mar-2017
6.4,28-Mar-2017
6.5,29-Mar-2017
7.2,31-Mar-2017
6.61,03-Apr-2017
6.61,04-Apr-2017
6.9,05-Apr-2017
6.55,06-Apr-2017
5.77,07-Apr-2017
6.52,10-Apr-2017
6.7,11-Apr-2017
6.6,12-Apr-2017
7.0,13-Apr-2017
6.71,14-Apr-2017
6.94,17-Apr-2017
7.25,18-Apr-2017
6.75,19-Apr-2017
6.93,20-Apr-2017
6.51,21-Apr-2017
7.25,24-Apr-2017
7.91,25-Apr-2017
7.26,26-Apr-2017
7.25,27-Apr-2017
7.25,28-Apr-2017
6.65,02-May-2017
7.1,03-May-2017
7.25,04-May-2017
6.75,05-May-2017
6.81,08-May-2017
6.6,09-May-2017
6.99,10-May-2017
6.76,11-May-2017
6.8,12-May-2017
6.9,15-May-2017
7.0,16-May-2017
6.8,17-May-2017
6.9,18-May-2017
7.0,19-May-2017
6.8,22-May-2017
6.45,23-May-2017
7.0,24-May-2017
6.81,25-May-2017
6.91,26-May-2017
7.15,29-May-2017
7.8,30-May-2017
7.7,31-May-2017
