True,Date
34.0,02-Oct-2017
33.0,03-Oct-2017
31.5,04-Oct-2017
30.35,05-Oct-2017
30.98,06-Oct-2017
31.2,09-Oct-2017
30.3,10-Oct-2017
31.05,11-Oct-2017
30.1,12-Oct-2017
29.51,13-Oct-2017
30.1,16-Oct-2017
30.01,17-Oct-2017
30.1,18-Oct-2017
30.0,19-Oct-2017
30.5,20-Oct-2017
30.9,23-Oct-2017
30.5,24-Oct-2017
30.15,25-Oct-2017
31.07,26-Oct-2017
30.5,27-Oct-2017
30.0,30-Oct-2017
29.51,31-Oct-2017
31.0,01-Nov-2017
31.8,02-Nov-2017
32.15,03-Nov-2017
31.5,06-Nov-2017
31.56,07-Nov-2017
31.29,08-Nov-2017
32.0,09-Nov-2017
31.51,10-Nov-2017
32.45,13-Nov-2017
32.2,14-Nov-2017
31.6,15-Nov-2017
31.6,16-Nov-2017
31.41,17-Nov-2017
31.25,20-Nov-2017
31.6,22-Nov-2017
31.0,23-Nov-2017
30.99,24-Nov-2017
30.3,27-Nov-2017
30.05,28-Nov-2017
29.7,29-Nov-2017
30.0,30-Nov-2017
30.15,04-Dec-2017
30.5,05-Dec-2017
29.69,06-Dec-2017
29.11,07-Dec-2017
28.3,08-Dec-2017
28.98,11-Dec-2017
27.47,12-Dec-2017
27.7,13-Dec-2017
27.3,14-Dec-2017
27.49,15-Dec-2017
28.4,18-Dec-2017
29.5,19-Dec-2017
30.1,20-Dec-2017
30.0,21-Dec-2017
29.55,22-Dec-2017
30.2,26-Dec-2017
30.0,27-Dec-2017
29.52,28-Dec-2017
30.48,29-Dec-2017
30.2,01-Jan-2018
30.99,02-Jan-2018
30.8,03-Jan-2018
31.0,04-Jan-2018
30.99,05-Jan-2018
31.7,08-Jan-2018
32.1,09-Jan-2018
31.56,10-Jan-2018
31.9,11-Jan-2018
31.6,12-Jan-2018
30.26,15-Jan-2018
30.0,16-Jan-2018
30.5,17-Jan-2018
31.39,18-Jan-2018
32.0,19-Jan-2018
32.5,22-Jan-2018
32.53,23-Jan-2018
32.9,24-Jan-2018
32.51,25-Jan-2018
31.8,26-Jan-2018
31.75,29-Jan-2018
32.25,30-Jan-2018
32.16,31-Jan-2018
32.5,01-Feb-2018
32.49,02-Feb-2018
32.0,06-Feb-2018
32.5,07-Feb-2018
32.0,08-Feb-2018
31.5,09-Feb-2018
31.98,12-Feb-2018
31.9,13-Feb-2018
31.6,14-Feb-2018
31.5,15-Feb-2018
31.0,16-Feb-2018
31.0,19-Feb-2018
30.5,20-Feb-2018
30.52,21-Feb-2018
30.6,22-Feb-2018
30.9,23-Feb-2018
31.05,26-Feb-2018
31.32,27-Feb-2018
31.3,28-Feb-2018
31.2,01-Mar-2018
31.0,02-Mar-2018
31.37,05-Mar-2018
31.1,06-Mar-2018
31.05,07-Mar-2018
31.0,08-Mar-2018
30.86,09-Mar-2018
31.0,12-Mar-2018
30.6,13-Mar-2018
30.5,14-Mar-2018
30.9,15-Mar-2018
31.5,16-Mar-2018
31.0,19-Mar-2018
31.0,20-Mar-2018
31.0,21-Mar-2018
31.6,22-Mar-2018
31.77,26-Mar-2018
32.59,27-Mar-2018
32.2,28-Mar-2018
32.05,29-Mar-2018
31.7,30-Mar-2018
33.1,02-Apr-2018
32.38,03-Apr-2018
32.51,04-Apr-2018
32.39,05-Apr-2018
32.15,06-Apr-2018
32.27,09-Apr-2018
32.82,10-Apr-2018
33.0,11-Apr-2018
32.4,12-Apr-2018
32.16,13-Apr-2018
32.1,16-Apr-2018
31.8,17-Apr-2018
31.94,18-Apr-2018
31.61,19-Apr-2018
31.8,20-Apr-2018
31.98,23-Apr-2018
32.25,24-Apr-2018
32.25,25-Apr-2018
32.49,26-Apr-2018
32.99,27-Apr-2018
32.9,30-Apr-2018
31.72,02-May-2018
31.15,03-May-2018
30.3,04-May-2018
30.12,07-May-2018
30.0,08-May-2018
29.7,09-May-2018
29.2,10-May-2018
29.25,11-May-2018
29.0,14-May-2018
28.6,15-May-2018
29.28,16-May-2018
28.8,17-May-2018
28.15,18-May-2018
28.5,21-May-2018
28.0,22-May-2018
28.61,23-May-2018
28.79,24-May-2018
28.0,25-May-2018
27.6,28-May-2018
27.8,29-May-2018
28.05,30-May-2018
28.74,31-May-2018
28.47,01-Jun-2018
28.49,04-Jun-2018
28.35,05-Jun-2018
28.41,06-Jun-2018
29.0,07-Jun-2018
30.0,11-Jun-2018
29.55,12-Jun-2018
30.0,13-Jun-2018
30.65,14-Jun-2018
30.0,19-Jun-2018
31.4,20-Jun-2018
31.1,21-Jun-2018
31.03,22-Jun-2018
31.7,25-Jun-2018
31.7,26-Jun-2018
31.75,27-Jun-2018
31.89,28-Jun-2018
32.1,29-Jun-2018
32.6,02-Jul-2018
31.46,03-Jul-2018
31.5,04-Jul-2018
31.1,05-Jul-2018
31.53,06-Jul-2018
31.0,09-Jul-2018
30.5,10-Jul-2018
31.0,11-Jul-2018
31.5,12-Jul-2018
32.49,13-Jul-2018
32.01,16-Jul-2018
31.9,17-Jul-2018
33.0,18-Jul-2018
34.0,19-Jul-2018
33.5,20-Jul-2018
33.5,23-Jul-2018
34.8,24-Jul-2018
35.3,26-Jul-2018
34.0,27-Jul-2018
35.9,30-Jul-2018
35.4,31-Jul-2018
34.99,01-Aug-2018
34.65,02-Aug-2018
34.75,03-Aug-2018
35.25,06-Aug-2018
35.0,07-Aug-2018
34.51,08-Aug-2018
34.97,09-Aug-2018
35.0,10-Aug-2018
34.5,13-Aug-2018
34.36,15-Aug-2018
34.3,16-Aug-2018
34.5,17-Aug-2018
34.3,20-Aug-2018
34.0,24-Aug-2018
35.5,27-Aug-2018
34.99,28-Aug-2018
35.03,29-Aug-2018
35.0,30-Aug-2018
33.98,31-Aug-2018
33.03,03-Sep-2018
33.98,04-Sep-2018
34.0,05-Sep-2018
33.25,06-Sep-2018
33.49,07-Sep-2018
32.25,10-Sep-2018
33.5,11-Sep-2018
34.26,12-Sep-2018
34.55,13-Sep-2018
36.83,14-Sep-2018
37.01,17-Sep-2018
36.0,18-Sep-2018
37.5,19-Sep-2018
38.0,24-Sep-2018
37.93,25-Sep-2018
37.0,26-Sep-2018
37.5,27-Sep-2018
36.5,28-Sep-2018
36.25,01-Oct-2018
36.75,02-Oct-2018
35.61,03-Oct-2018
36.51,04-Oct-2018
34.36,05-Oct-2018
36.0,08-Oct-2018
36.0,09-Oct-2018
36.0,10-Oct-2018
36.0,11-Oct-2018
35.75,12-Oct-2018
35.99,15-Oct-2018
35.5,16-Oct-2018
35.5,17-Oct-2018
35.6,18-Oct-2018
35.5,19-Oct-2018
36.06,22-Oct-2018
35.0,23-Oct-2018
36.0,24-Oct-2018
36.75,25-Oct-2018
