True,Date
11.65,19-Jan-2017
12.01,20-Jan-2017
12.11,23-Jan-2017
12.6,24-Jan-2017
12.35,25-Jan-2017
12.7,26-Jan-2017
12.44,27-Jan-2017
12.3,30-Jan-2017
11.6,31-Jan-2017
11.88,01-Feb-2017
12.11,02-Feb-2017
11.41,03-Feb-2017
11.48,06-Feb-2017
11.3,07-Feb-2017
11.88,08-Feb-2017
11.62,09-Feb-2017
11.4,10-Feb-2017
11.5,13-Feb-2017
10.8,14-Feb-2017
10.8,15-Feb-2017
11.1,16-Feb-2017
11.2,17-Feb-2017
11.5,20-Feb-2017
11.05,21-Feb-2017
11.13,22-Feb-2017
11.0,23-Feb-2017
10.52,24-Feb-2017
10.6,27-Feb-2017
10.2,28-Feb-2017
10.05,01-Mar-2017
10.5,02-Mar-2017
10.97,03-Mar-2017
10.94,06-Mar-2017
10.7,07-Mar-2017
10.46,08-Mar-2017
10.3,09-Mar-2017
10.0,10-Mar-2017
10.69,13-Mar-2017
10.25,14-Mar-2017
10.25,15-Mar-2017
10.12,16-Mar-2017
10.55,20-Mar-2017
10.69,21-Mar-2017
10.3,22-Mar-2017
10.52,24-Mar-2017
10.87,27-Mar-2017
10.4,28-Mar-2017
10.7,29-Mar-2017
10.02,30-Mar-2017
10.22,31-Mar-2017
10.49,03-Apr-2017
10.49,04-Apr-2017
10.4,05-Apr-2017
9.94,06-Apr-2017
10.15,07-Apr-2017
10.1,10-Apr-2017
10.2,11-Apr-2017
10.3,12-Apr-2017
10.2,13-Apr-2017
10.03,14-Apr-2017
9.95,17-Apr-2017
10.1,18-Apr-2017
9.28,19-Apr-2017
10.01,20-Apr-2017
10.2,21-Apr-2017
10.2,24-Apr-2017
10.01,25-Apr-2017
10.02,26-Apr-2017
9.9,27-Apr-2017
9.0,28-Apr-2017
9.59,02-May-2017
9.5,03-May-2017
9.69,04-May-2017
9.94,05-May-2017
10.05,08-May-2017
9.76,09-May-2017
9.9,10-May-2017
9.96,11-May-2017
9.96,12-May-2017
10.0,15-May-2017
9.9,16-May-2017
9.9,17-May-2017
9.66,18-May-2017
9.77,19-May-2017
10.0,22-May-2017
9.94,23-May-2017
9.61,24-May-2017
9.8,25-May-2017
9.5,26-May-2017
9.4,29-May-2017
9.32,30-May-2017
9.2,31-May-2017
9.25,01-Jun-2017
8.76,02-Jun-2017
9.32,05-Jun-2017
9.25,06-Jun-2017
9.68,07-Jun-2017
9.15,08-Jun-2017
9.17,09-Jun-2017
9.07,12-Jun-2017
9.0,13-Jun-2017
8.9,14-Jun-2017
8.85,15-Jun-2017
9.19,16-Jun-2017
8.71,19-Jun-2017
8.71,20-Jun-2017
8.01,21-Jun-2017
8.25,22-Jun-2017
8.99,29-Jun-2017
8.85,30-Jun-2017
8.71,03-Jul-2017
8.7,04-Jul-2017
8.52,05-Jul-2017
9.45,06-Jul-2017
8.5,07-Jul-2017
8.87,10-Jul-2017
8.25,11-Jul-2017
8.6,12-Jul-2017
8.0,13-Jul-2017
8.24,14-Jul-2017
8.16,17-Jul-2017
8.3,18-Jul-2017
8.5,19-Jul-2017
8.5,20-Jul-2017
8.4,21-Jul-2017
8.4,25-Jul-2017
8.3,26-Jul-2017
8.25,27-Jul-2017
7.56,28-Jul-2017
8.2,31-Jul-2017
8.59,01-Aug-2017
8.4,02-Aug-2017
8.45,03-Aug-2017
8.89,04-Aug-2017
8.5,07-Aug-2017
8.6,08-Aug-2017
8.5,09-Aug-2017
8.45,10-Aug-2017
8.42,11-Aug-2017
8.49,15-Aug-2017
8.2,16-Aug-2017
8.89,17-Aug-2017
7.5,18-Aug-2017
7.99,21-Aug-2017
7.51,22-Aug-2017
8.0,23-Aug-2017
8.2,24-Aug-2017
8.15,25-Aug-2017
7.6,29-Aug-2017
7.52,30-Aug-2017
8.0,05-Sep-2017
8.11,06-Sep-2017
8.0,07-Sep-2017
8.24,08-Sep-2017
8.1,11-Sep-2017
8.01,12-Sep-2017
8.0,13-Sep-2017
8.15,14-Sep-2017
8.15,15-Sep-2017
8.39,18-Sep-2017
8.47,19-Sep-2017
8.2,20-Sep-2017
8.88,21-Sep-2017
8.34,22-Sep-2017
8.01,25-Sep-2017
7.95,26-Sep-2017
7.86,27-Sep-2017
8.35,28-Sep-2017
8.0,29-Sep-2017
8.4,02-Oct-2017
8.02,03-Oct-2017
8.0,04-Oct-2017
7.65,05-Oct-2017
7.8,06-Oct-2017
8.48,09-Oct-2017
8.01,10-Oct-2017
8.0,11-Oct-2017
7.83,12-Oct-2017
7.75,13-Oct-2017
7.5,16-Oct-2017
7.51,17-Oct-2017
