True,Date
76.9,18-Oct-2016
76.69,19-Oct-2016
77.0,20-Oct-2016
76.8,21-Oct-2016
76.5,24-Oct-2016
75.5,25-Oct-2016
75.5,26-Oct-2016
74.81,27-Oct-2016
73.1,28-Oct-2016
73.25,31-Oct-2016
73.5,01-Nov-2016
76.56,02-Nov-2016
77.5,03-Nov-2016
76.02,04-Nov-2016
76.64,07-Nov-2016
76.77,08-Nov-2016
76.0,09-Nov-2016
77.9,10-Nov-2016
78.44,11-Nov-2016
77.85,14-Nov-2016
77.65,15-Nov-2016
76.15,16-Nov-2016
76.74,17-Nov-2016
75.32,18-Nov-2016
75.99,21-Nov-2016
75.95,22-Nov-2016
76.22,23-Nov-2016
76.5,24-Nov-2016
77.46,25-Nov-2016
77.18,28-Nov-2016
76.0,29-Nov-2016
76.02,30-Nov-2016
76.48,01-Dec-2016
76.0,02-Dec-2016
76.01,05-Dec-2016
75.85,06-Dec-2016
75.6,07-Dec-2016
76.0,08-Dec-2016
75.86,09-Dec-2016
76.33,13-Dec-2016
76.6,14-Dec-2016
76.4,15-Dec-2016
76.0,16-Dec-2016
78.49,19-Dec-2016
77.9,20-Dec-2016
78.48,21-Dec-2016
78.35,22-Dec-2016
77.49,23-Dec-2016
77.0,26-Dec-2016
77.45,27-Dec-2016
78.5,28-Dec-2016
79.49,29-Dec-2016
79.05,30-Dec-2016
78.88,02-Jan-2017
78.9,03-Jan-2017
79.7,04-Jan-2017
80.05,05-Jan-2017
80.25,06-Jan-2017
80.5,09-Jan-2017
80.07,10-Jan-2017
80.1,11-Jan-2017
80.6,12-Jan-2017
81.32,13-Jan-2017
86.0,16-Jan-2017
84.19,17-Jan-2017
83.49,18-Jan-2017
82.3,19-Jan-2017
83.0,20-Jan-2017
83.45,23-Jan-2017
83.3,24-Jan-2017
83.88,25-Jan-2017
83.39,26-Jan-2017
82.96,27-Jan-2017
82.45,30-Jan-2017
81.0,31-Jan-2017
81.0,01-Feb-2017
81.45,02-Feb-2017
81.11,03-Feb-2017
81.1,06-Feb-2017
81.61,07-Feb-2017
81.39,08-Feb-2017
80.51,09-Feb-2017
81.05,10-Feb-2017
81.97,13-Feb-2017
82.0,14-Feb-2017
83.25,15-Feb-2017
83.25,16-Feb-2017
82.3,17-Feb-2017
82.25,20-Feb-2017
81.3,21-Feb-2017
80.95,22-Feb-2017
80.91,23-Feb-2017
81.03,24-Feb-2017
81.0,27-Feb-2017
80.1,28-Feb-2017
80.01,01-Mar-2017
80.85,02-Mar-2017
81.1,03-Mar-2017
80.57,06-Mar-2017
80.5,07-Mar-2017
80.85,08-Mar-2017
80.52,09-Mar-2017
80.25,10-Mar-2017
79.67,13-Mar-2017
79.25,14-Mar-2017
78.89,15-Mar-2017
78.8,16-Mar-2017
78.12,17-Mar-2017
80.75,20-Mar-2017
81.1,21-Mar-2017
81.0,22-Mar-2017
80.99,24-Mar-2017
80.51,27-Mar-2017
80.11,28-Mar-2017
81.0,29-Mar-2017
81.34,30-Mar-2017
80.25,31-Mar-2017
80.34,03-Apr-2017
81.05,04-Apr-2017
77.65,05-Apr-2017
75.8,06-Apr-2017
76.12,07-Apr-2017
77.17,10-Apr-2017
76.0,11-Apr-2017
75.81,12-Apr-2017
76.05,13-Apr-2017
75.5,14-Apr-2017
74.9,17-Apr-2017
74.2,18-Apr-2017
73.11,19-Apr-2017
74.05,20-Apr-2017
75.8,21-Apr-2017
76.0,24-Apr-2017
76.7,25-Apr-2017
77.0,26-Apr-2017
77.36,27-Apr-2017
77.65,28-Apr-2017
76.66,02-May-2017
76.49,03-May-2017
76.21,04-May-2017
76.2,05-May-2017
76.55,08-May-2017
78.0,09-May-2017
76.95,10-May-2017
76.6,11-May-2017
76.3,12-May-2017
77.45,15-May-2017
77.8,16-May-2017
78.4,17-May-2017
78.0,18-May-2017
77.07,19-May-2017
77.09,22-May-2017
77.2,23-May-2017
77.4,24-May-2017
77.02,25-May-2017
77.3,26-May-2017
77.45,29-May-2017
77.1,30-May-2017
77.24,31-May-2017
75.16,01-Jun-2017
73.42,02-Jun-2017
73.99,05-Jun-2017
75.12,06-Jun-2017
75.26,07-Jun-2017
75.0,08-Jun-2017
74.9,09-Jun-2017
74.01,12-Jun-2017
73.0,13-Jun-2017
73.71,14-Jun-2017
73.51,15-Jun-2017
73.07,16-Jun-2017
73.0,19-Jun-2017
73.05,20-Jun-2017
71.38,21-Jun-2017
73.25,22-Jun-2017
72.89,29-Jun-2017
72.05,30-Jun-2017
72.44,03-Jul-2017
70.0,04-Jul-2017
70.8,05-Jul-2017
71.75,06-Jul-2017
71.45,07-Jul-2017
71.91,10-Jul-2017
71.18,11-Jul-2017
69.5,12-Jul-2017
72.99,13-Jul-2017
72.5,14-Jul-2017
72.98,17-Jul-2017
73.5,18-Jul-2017
74.14,19-Jul-2017
74.0,20-Jul-2017
72.75,21-Jul-2017
73.01,24-Jul-2017
73.85,25-Jul-2017
74.0,26-Jul-2017
75.0,27-Jul-2017
72.85,28-Jul-2017
76.0,31-Jul-2017
75.05,01-Aug-2017
76.45,02-Aug-2017
75.6,03-Aug-2017
76.05,04-Aug-2017
76.0,07-Aug-2017
76.17,08-Aug-2017
74.91,09-Aug-2017
76.5,10-Aug-2017
74.74,11-Aug-2017
75.5,15-Aug-2017
73.85,16-Aug-2017
74.01,17-Aug-2017
73.25,18-Aug-2017
72.98,21-Aug-2017
72.0,22-Aug-2017
73.74,23-Aug-2017
75.99,24-Aug-2017
74.1,25-Aug-2017
74.06,28-Aug-2017
73.2,29-Aug-2017
72.5,30-Aug-2017
72.87,31-Aug-2017
73.45,05-Sep-2017
73.1,06-Sep-2017
72.75,07-Sep-2017
73.39,08-Sep-2017
73.45,11-Sep-2017
72.58,12-Sep-2017
73.5,13-Sep-2017
74.9,14-Sep-2017
74.7,15-Sep-2017
74.12,18-Sep-2017
75.0,19-Sep-2017
77.4,20-Sep-2017
77.11,21-Sep-2017
76.51,22-Sep-2017
76.55,25-Sep-2017
77.3,26-Sep-2017
77.0,27-Sep-2017
77.0,28-Sep-2017
76.95,29-Sep-2017
76.11,02-Oct-2017
76.5,03-Oct-2017
74.9,04-Oct-2017
74.4,05-Oct-2017
74.9,06-Oct-2017
75.75,09-Oct-2017
76.45,10-Oct-2017
71.95,11-Oct-2017
71.1,12-Oct-2017
69.85,13-Oct-2017
70.04,16-Oct-2017
69.8,17-Oct-2017
68.61,18-Oct-2017
68.2,19-Oct-2017
68.03,20-Oct-2017
68.11,23-Oct-2017
68.49,24-Oct-2017
67.0,25-Oct-2017
66.8,26-Oct-2017
67.01,27-Oct-2017
66.5,30-Oct-2017
66.8,31-Oct-2017
64.5,01-Nov-2017
65.0,02-Nov-2017
64.68,03-Nov-2017
65.11,06-Nov-2017
66.09,07-Nov-2017
65.9,08-Nov-2017
66.4,09-Nov-2017
65.07,10-Nov-2017
67.3,13-Nov-2017
67.5,14-Nov-2017
67.0,15-Nov-2017
67.0,16-Nov-2017
65.66,17-Nov-2017
65.5,20-Nov-2017
65.6,21-Nov-2017
64.1,22-Nov-2017
63.2,23-Nov-2017
61.48,24-Nov-2017
61.5,27-Nov-2017
61.2,28-Nov-2017
60.99,29-Nov-2017
60.3,30-Nov-2017
