True,Date
2.3,01-Jan-2013
2.28,02-Jan-2013
2.34,03-Jan-2013
2.31,04-Jan-2013
2.16,07-Jan-2013
2.17,08-Jan-2013
2.2,09-Jan-2013
2.15,10-Jan-2013
2.2,11-Jan-2013
2.2,15-Jan-2013
2.16,16-Jan-2013
2.19,17-Jan-2013
2.28,18-Jan-2013
2.26,21-Jan-2013
2.2,22-Jan-2013
2.25,23-Jan-2013
2.24,24-Jan-2013
2.27,28-Jan-2013
2.17,29-Jan-2013
2.26,30-Jan-2013
2.26,31-Jan-2013
2.2,01-Feb-2013
2.17,04-Feb-2013
2.23,06-Feb-2013
2.2,07-Feb-2013
2.21,08-Feb-2013
2.3,11-Feb-2013
2.3,12-Feb-2013
2.35,13-Feb-2013
2.35,14-Feb-2013
2.35,15-Feb-2013
2.23,18-Feb-2013
2.29,19-Feb-2013
2.26,20-Feb-2013
2.21,21-Feb-2013
2.18,22-Feb-2013
2.2,25-Feb-2013
2.16,26-Feb-2013
2.25,27-Feb-2013
2.22,28-Feb-2013
2.12,01-Mar-2013
2.02,04-Mar-2013
2.06,05-Mar-2013
2.02,06-Mar-2013
2.06,07-Mar-2013
2.04,08-Mar-2013
2.11,11-Mar-2013
2.05,12-Mar-2013
2.0,13-Mar-2013
2.0,14-Mar-2013
1.96,15-Mar-2013
2.0,18-Mar-2013
2.0,19-Mar-2013
1.92,20-Mar-2013
1.99,21-Mar-2013
2.03,22-Mar-2013
2.0,25-Mar-2013
1.9,26-Mar-2013
1.9,27-Mar-2013
1.9,28-Mar-2013
1.97,29-Mar-2013
1.95,01-Apr-2013
1.89,02-Apr-2013
1.91,03-Apr-2013
2.49,04-Apr-2013
2.1,05-Apr-2013
2.03,08-Apr-2013
1.91,09-Apr-2013
1.97,10-Apr-2013
1.96,12-Apr-2013
1.92,15-Apr-2013
1.9,16-Apr-2013
1.99,17-Apr-2013
1.95,18-Apr-2013
1.94,19-Apr-2013
1.89,22-Apr-2013
1.9,23-Apr-2013
1.9,24-Apr-2013
1.9,25-Apr-2013
1.95,26-Apr-2013
1.94,29-Apr-2013
1.9,30-Apr-2013
1.95,02-May-2013
1.87,03-May-2013
1.96,06-May-2013
1.88,07-May-2013
2.05,08-May-2013
1.97,09-May-2013
2.0,10-May-2013
2.0,13-May-2013
2.04,14-May-2013
2.05,15-May-2013
2.01,16-May-2013
2.09,17-May-2013
2.08,20-May-2013
2.07,21-May-2013
2.0,22-May-2013
1.95,23-May-2013
1.96,24-May-2013
1.93,27-May-2013
2.0,28-May-2013
1.91,29-May-2013
1.93,30-May-2013
2.2,31-May-2013
2.46,03-Jun-2013
2.42,04-Jun-2013
2.62,05-Jun-2013
2.5,06-Jun-2013
2.43,07-Jun-2013
2.32,10-Jun-2013
2.45,11-Jun-2013
2.45,12-Jun-2013
2.45,13-Jun-2013
2.5,14-Jun-2013
2.49,17-Jun-2013
2.35,18-Jun-2013
2.31,19-Jun-2013
2.2,20-Jun-2013
