True,Date
42.7,09-May-2016
42.7,10-May-2016
42.8,11-May-2016
43.0,12-May-2016
42.01,13-May-2016
42.98,16-May-2016
42.15,17-May-2016
42.25,18-May-2016
42.84,19-May-2016
44.4,20-May-2016
43.0,23-May-2016
43.0,24-May-2016
43.0,25-May-2016
42.02,26-May-2016
42.31,27-May-2016
42.5,30-May-2016
42.55,31-May-2016
42.0,01-Jun-2016
42.5,02-Jun-2016
42.5,03-Jun-2016
43.0,06-Jun-2016
42.99,08-Jun-2016
42.5,09-Jun-2016
42.0,10-Jun-2016
41.06,13-Jun-2016
41.4,14-Jun-2016
41.51,15-Jun-2016
43.0,16-Jun-2016
42.99,17-Jun-2016
42.51,20-Jun-2016
42.99,21-Jun-2016
42.3,22-Jun-2016
41.6,23-Jun-2016
42.5,24-Jun-2016
42.0,27-Jun-2016
42.11,28-Jun-2016
42.25,29-Jun-2016
43.0,30-Jun-2016
42.11,04-Jul-2016
42.01,11-Jul-2016
42.5,12-Jul-2016
44.0,13-Jul-2016
44.0,14-Jul-2016
45.95,15-Jul-2016
46.0,18-Jul-2016
46.0,19-Jul-2016
46.0,20-Jul-2016
46.0,21-Jul-2016
46.25,22-Jul-2016
45.89,25-Jul-2016
46.15,26-Jul-2016
46.01,27-Jul-2016
46.75,28-Jul-2016
46.5,29-Jul-2016
46.3,01-Aug-2016
47.0,02-Aug-2016
47.2,03-Aug-2016
46.5,04-Aug-2016
45.5,05-Aug-2016
45.1,08-Aug-2016
46.9,09-Aug-2016
45.5,10-Aug-2016
45.56,11-Aug-2016
46.7,12-Aug-2016
46.25,15-Aug-2016
48.0,16-Aug-2016
48.0,17-Aug-2016
48.55,18-Aug-2016
48.25,19-Aug-2016
49.8,22-Aug-2016
50.0,23-Aug-2016
54.1,24-Aug-2016
52.0,25-Aug-2016
51.9,26-Aug-2016
51.97,29-Aug-2016
52.2,30-Aug-2016
53.9,31-Aug-2016
53.02,01-Sep-2016
52.5,02-Sep-2016
52.95,05-Sep-2016
51.45,06-Sep-2016
51.85,07-Sep-2016
52.0,08-Sep-2016
52.55,09-Sep-2016
55.0,15-Sep-2016
56.0,16-Sep-2016
58.0,19-Sep-2016
57.05,20-Sep-2016
56.0,21-Sep-2016
56.55,22-Sep-2016
56.5,23-Sep-2016
57.8,26-Sep-2016
55.07,27-Sep-2016
56.02,28-Sep-2016
56.95,29-Sep-2016
57.0,30-Sep-2016
56.0,03-Oct-2016
57.8,04-Oct-2016
55.02,05-Oct-2016
56.5,06-Oct-2016
57.9,07-Oct-2016
55.6,10-Oct-2016
55.99,13-Oct-2016
56.0,14-Oct-2016
55.5,17-Oct-2016
55.5,18-Oct-2016
55.01,19-Oct-2016
55.0,20-Oct-2016
55.01,21-Oct-2016
54.5,24-Oct-2016
52.01,25-Oct-2016
54.0,26-Oct-2016
52.52,27-Oct-2016
50.64,28-Oct-2016
52.1,31-Oct-2016
52.35,01-Nov-2016
55.0,02-Nov-2016
57.0,03-Nov-2016
58.5,04-Nov-2016
58.5,07-Nov-2016
57.5,08-Nov-2016
57.02,09-Nov-2016
58.5,10-Nov-2016
59.0,11-Nov-2016
61.0,14-Nov-2016
59.95,15-Nov-2016
60.99,16-Nov-2016
61.5,17-Nov-2016
61.0,18-Nov-2016
61.2,21-Nov-2016
61.5,22-Nov-2016
59.25,23-Nov-2016
60.0,24-Nov-2016
58.5,25-Nov-2016
58.5,28-Nov-2016
58.99,29-Nov-2016
57.5,30-Nov-2016
57.99,01-Dec-2016
59.3,02-Dec-2016
60.0,05-Dec-2016
62.0,06-Dec-2016
62.01,07-Dec-2016
62.48,08-Dec-2016
62.0,09-Dec-2016
67.99,13-Dec-2016
70.77,14-Dec-2016
68.76,15-Dec-2016
70.0,16-Dec-2016
72.0,19-Dec-2016
70.02,20-Dec-2016
69.0,21-Dec-2016
69.5,22-Dec-2016
67.99,23-Dec-2016
66.98,26-Dec-2016
66.03,27-Dec-2016
65.49,28-Dec-2016
64.99,29-Dec-2016
65.0,30-Dec-2016
68.99,02-Jan-2017
67.0,03-Jan-2017
66.01,04-Jan-2017
69.0,05-Jan-2017
66.5,06-Jan-2017
66.7,09-Jan-2017
65.9,10-Jan-2017
67.0,11-Jan-2017
68.0,12-Jan-2017
65.26,13-Jan-2017
65.95,16-Jan-2017
65.5,17-Jan-2017
64.8,18-Jan-2017
64.0,19-Jan-2017
65.73,20-Jan-2017
64.5,23-Jan-2017
66.0,24-Jan-2017
65.0,25-Jan-2017
66.0,26-Jan-2017
68.0,27-Jan-2017
67.0,30-Jan-2017
66.0,31-Jan-2017
66.49,01-Feb-2017
67.5,02-Feb-2017
68.94,03-Feb-2017
68.2,06-Feb-2017
69.94,07-Feb-2017
70.25,08-Feb-2017
70.01,09-Feb-2017
70.0,10-Feb-2017
70.5,13-Feb-2017
70.0,14-Feb-2017
69.0,15-Feb-2017
69.25,16-Feb-2017
67.0,17-Feb-2017
68.0,20-Feb-2017
64.5,21-Feb-2017
66.0,22-Feb-2017
66.01,23-Feb-2017
66.01,24-Feb-2017
65.0,27-Feb-2017
63.01,28-Feb-2017
64.9,01-Mar-2017
63.06,02-Mar-2017
66.4,03-Mar-2017
69.0,06-Mar-2017
66.5,07-Mar-2017
67.5,08-Mar-2017
66.11,09-Mar-2017
65.0,10-Mar-2017
65.0,13-Mar-2017
65.25,14-Mar-2017
65.98,15-Mar-2017
66.8,16-Mar-2017
67.0,17-Mar-2017
67.9,20-Mar-2017
68.0,21-Mar-2017
69.0,22-Mar-2017
70.0,24-Mar-2017
70.0,27-Mar-2017
68.55,28-Mar-2017
71.5,29-Mar-2017
70.2,30-Mar-2017
70.05,31-Mar-2017
71.0,03-Apr-2017
72.85,04-Apr-2017
74.98,05-Apr-2017
72.9,06-Apr-2017
71.1,07-Apr-2017
73.25,10-Apr-2017
74.5,11-Apr-2017
74.03,12-Apr-2017
75.95,13-Apr-2017
74.09,14-Apr-2017
73.5,17-Apr-2017
72.11,18-Apr-2017
71.0,19-Apr-2017
74.0,20-Apr-2017
77.0,21-Apr-2017
79.38,24-Apr-2017
77.02,25-Apr-2017
80.0,26-Apr-2017
83.11,27-Apr-2017
80.9,28-Apr-2017
80.0,02-May-2017
80.98,04-May-2017
82.0,05-May-2017
81.45,08-May-2017
82.0,09-May-2017
80.0,10-May-2017
80.5,11-May-2017
79.1,12-May-2017
82.0,15-May-2017
81.45,16-May-2017
78.5,17-May-2017
77.08,19-May-2017
77.11,22-May-2017
79.9,23-May-2017
82.0,24-May-2017
80.06,25-May-2017
85.0,26-May-2017
82.0,29-May-2017
82.25,30-May-2017
83.3,31-May-2017
81.0,01-Jun-2017
80.0,02-Jun-2017
82.75,05-Jun-2017
83.0,06-Jun-2017
84.65,07-Jun-2017
85.0,08-Jun-2017
84.45,09-Jun-2017
81.2,12-Jun-2017
84.0,13-Jun-2017
83.05,14-Jun-2017
82.71,15-Jun-2017
82.5,16-Jun-2017
82.0,19-Jun-2017
80.0,20-Jun-2017
79.0,21-Jun-2017
80.0,22-Jun-2017
82.25,29-Jun-2017
79.0,30-Jun-2017
78.5,03-Jul-2017
76.95,04-Jul-2017
78.0,05-Jul-2017
77.5,06-Jul-2017
77.0,07-Jul-2017
76.05,10-Jul-2017
76.01,11-Jul-2017
74.5,12-Jul-2017
72.0,13-Jul-2017
73.01,14-Jul-2017
74.99,18-Jul-2017
75.21,19-Jul-2017
79.0,20-Jul-2017
74.0,21-Jul-2017
74.95,24-Jul-2017
77.0,25-Jul-2017
75.02,26-Jul-2017
75.06,27-Jul-2017
72.8,28-Jul-2017
78.3,31-Jul-2017
80.31,01-Aug-2017
80.01,02-Aug-2017
78.26,03-Aug-2017
76.65,04-Aug-2017
83.28,07-Aug-2017
79.0,08-Aug-2017
76.7,09-Aug-2017
79.59,10-Aug-2017
80.5,11-Aug-2017
80.5,15-Aug-2017
78.0,16-Aug-2017
76.55,17-Aug-2017
72.55,18-Aug-2017
73.0,21-Aug-2017
68.61,22-Aug-2017
73.0,23-Aug-2017
73.5,24-Aug-2017
73.49,25-Aug-2017
72.1,28-Aug-2017
72.25,29-Aug-2017
72.0,30-Aug-2017
71.52,31-Aug-2017
73.7,05-Sep-2017
73.0,06-Sep-2017
73.0,07-Sep-2017
71.0,08-Sep-2017
71.0,11-Sep-2017
70.25,12-Sep-2017
70.27,13-Sep-2017
73.25,14-Sep-2017
77.75,15-Sep-2017
75.76,18-Sep-2017
77.0,19-Sep-2017
77.0,20-Sep-2017
73.26,21-Sep-2017
70.29,22-Sep-2017
72.0,25-Sep-2017
72.0,26-Sep-2017
72.5,27-Sep-2017
71.5,28-Sep-2017
71.75,29-Sep-2017
72.0,02-Oct-2017
71.21,03-Oct-2017
70.5,04-Oct-2017
67.51,05-Oct-2017
68.5,06-Oct-2017
67.8,09-Oct-2017
69.0,11-Oct-2017
66.3,12-Oct-2017
67.0,13-Oct-2017
68.0,16-Oct-2017
68.9,17-Oct-2017
68.1,18-Oct-2017
66.5,19-Oct-2017
69.49,23-Oct-2017
69.0,24-Oct-2017
67.6,25-Oct-2017
67.0,26-Oct-2017
66.5,27-Oct-2017
64.1,30-Oct-2017
65.25,31-Oct-2017
65.5,01-Nov-2017
66.0,02-Nov-2017
67.0,03-Nov-2017
66.9,06-Nov-2017
66.0,07-Nov-2017
66.89,08-Nov-2017
67.0,09-Nov-2017
67.0,10-Nov-2017
68.45,13-Nov-2017
68.3,14-Nov-2017
66.75,15-Nov-2017
67.0,16-Nov-2017
67.0,17-Nov-2017
68.0,20-Nov-2017
