True,Date
260.4,07-Apr-2017
266.0,10-Apr-2017
268.8,11-Apr-2017
276.02,12-Apr-2017
276.0,13-Apr-2017
268.55,14-Apr-2017
271.8,17-Apr-2017
264.98,18-Apr-2017
254.0,19-Apr-2017
260.3,20-Apr-2017
270.11,21-Apr-2017
276.0,24-Apr-2017
272.2,25-Apr-2017
269.0,26-Apr-2017
272.01,27-Apr-2017
271.5,28-Apr-2017
275.5,02-May-2017
275.0,03-May-2017
280.0,04-May-2017
288.8,05-May-2017
292.0,08-May-2017
309.0,09-May-2017
302.75,10-May-2017
307.86,11-May-2017
308.61,12-May-2017
307.5,15-May-2017
310.0,16-May-2017
300.6,17-May-2017
293.8,18-May-2017
293.0,19-May-2017
290.44,22-May-2017
302.0,23-May-2017
304.5,24-May-2017
307.89,25-May-2017
305.51,26-May-2017
298.11,29-May-2017
292.0,30-May-2017
285.98,31-May-2017
271.0,01-Jun-2017
258.0,02-Jun-2017
256.0,05-Jun-2017
268.0,06-Jun-2017
274.0,07-Jun-2017
269.98,08-Jun-2017
259.31,09-Jun-2017
259.0,12-Jun-2017
249.98,13-Jun-2017
261.5,14-Jun-2017
263.0,15-Jun-2017
268.0,16-Jun-2017
263.0,19-Jun-2017
256.99,20-Jun-2017
241.55,21-Jun-2017
244.25,22-Jun-2017
251.25,29-Jun-2017
266.0,30-Jun-2017
270.0,03-Jul-2017
255.01,04-Jul-2017
252.71,05-Jul-2017
247.0,06-Jul-2017
245.0,07-Jul-2017
241.01,10-Jul-2017
247.0,11-Jul-2017
236.01,12-Jul-2017
243.11,13-Jul-2017
248.55,14-Jul-2017
253.5,17-Jul-2017
251.02,18-Jul-2017
254.0,19-Jul-2017
254.95,20-Jul-2017
250.8,21-Jul-2017
253.13,24-Jul-2017
252.1,25-Jul-2017
253.5,26-Jul-2017
251.99,27-Jul-2017
245.1,28-Jul-2017
251.0,31-Jul-2017
231.0,01-Aug-2017
232.51,02-Aug-2017
235.5,03-Aug-2017
238.47,04-Aug-2017
237.99,07-Aug-2017
236.51,08-Aug-2017
235.0,09-Aug-2017
232.48,10-Aug-2017
228.5,11-Aug-2017
227.0,15-Aug-2017
223.88,16-Aug-2017
223.97,17-Aug-2017
217.25,18-Aug-2017
214.9,21-Aug-2017
212.2,22-Aug-2017
210.6,23-Aug-2017
219.99,24-Aug-2017
217.9,25-Aug-2017
207.21,28-Aug-2017
196.85,29-Aug-2017
187.01,30-Aug-2017
177.66,31-Aug-2017
168.78,05-Sep-2017
162.0,06-Sep-2017
157.1,07-Sep-2017
160.58,08-Sep-2017
168.6,11-Sep-2017
177.0,12-Sep-2017
183.0,13-Sep-2017
185.9,14-Sep-2017
186.01,15-Sep-2017
196.49,18-Sep-2017
192.6,19-Sep-2017
190.26,20-Sep-2017
187.01,21-Sep-2017
183.01,22-Sep-2017
185.09,25-Sep-2017
185.8,26-Sep-2017
179.07,27-Sep-2017
180.0,28-Sep-2017
180.0,29-Sep-2017
180.76,02-Oct-2017
176.1,03-Oct-2017
171.99,04-Oct-2017
170.05,05-Oct-2017
171.75,06-Oct-2017
173.0,09-Oct-2017
175.58,10-Oct-2017
173.26,11-Oct-2017
168.0,12-Oct-2017
166.01,13-Oct-2017
169.99,16-Oct-2017
171.0,17-Oct-2017
168.7,18-Oct-2017
168.0,19-Oct-2017
168.06,20-Oct-2017
170.2,23-Oct-2017
172.95,24-Oct-2017
171.0,25-Oct-2017
169.75,26-Oct-2017
170.5,27-Oct-2017
167.0,30-Oct-2017
162.0,31-Oct-2017
161.0,01-Nov-2017
164.0,02-Nov-2017
162.3,03-Nov-2017
169.01,06-Nov-2017
164.99,07-Nov-2017
166.75,08-Nov-2017
168.0,09-Nov-2017
168.06,10-Nov-2017
167.75,13-Nov-2017
169.4,14-Nov-2017
168.99,15-Nov-2017
166.98,16-Nov-2017
168.0,17-Nov-2017
167.95,20-Nov-2017
165.02,21-Nov-2017
167.8,22-Nov-2017
166.01,23-Nov-2017
163.64,24-Nov-2017
164.0,27-Nov-2017
163.9,28-Nov-2017
161.91,29-Nov-2017
162.48,30-Nov-2017
162.0,04-Dec-2017
161.65,05-Dec-2017
160.0,06-Dec-2017
159.0,07-Dec-2017
148.25,08-Dec-2017
155.0,11-Dec-2017
151.01,12-Dec-2017
156.5,13-Dec-2017
154.35,14-Dec-2017
156.35,15-Dec-2017
159.95,18-Dec-2017
159.9,19-Dec-2017
161.0,20-Dec-2017
167.25,21-Dec-2017
172.0,22-Dec-2017
169.99,26-Dec-2017
171.0,27-Dec-2017
170.5,28-Dec-2017
167.68,29-Dec-2017
168.99,01-Jan-2018
173.95,02-Jan-2018
178.6,03-Jan-2018
177.9,04-Jan-2018
181.5,05-Jan-2018
186.82,08-Jan-2018
192.15,09-Jan-2018
186.9,10-Jan-2018
192.0,11-Jan-2018
192.0,12-Jan-2018
193.35,15-Jan-2018
190.0,16-Jan-2018
195.0,17-Jan-2018
202.01,18-Jan-2018
204.5,19-Jan-2018
206.85,22-Jan-2018
208.5,23-Jan-2018
205.0,24-Jan-2018
210.1,25-Jan-2018
208.1,26-Jan-2018
206.0,29-Jan-2018
204.2,30-Jan-2018
194.89,31-Jan-2018
195.0,01-Feb-2018
198.0,02-Feb-2018
195.55,06-Feb-2018
195.5,07-Feb-2018
193.06,08-Feb-2018
190.87,09-Feb-2018
195.5,12-Feb-2018
191.51,13-Feb-2018
197.2,14-Feb-2018
203.47,15-Feb-2018
203.0,16-Feb-2018
213.0,19-Feb-2018
211.51,20-Feb-2018
209.6,21-Feb-2018
202.11,22-Feb-2018
215.0,23-Feb-2018
212.84,26-Feb-2018
203.53,27-Feb-2018
208.9,28-Feb-2018
208.0,01-Mar-2018
208.0,02-Mar-2018
210.0,05-Mar-2018
212.0,06-Mar-2018
208.8,07-Mar-2018
205.06,08-Mar-2018
202.07,09-Mar-2018
204.0,12-Mar-2018
205.5,13-Mar-2018
205.4,14-Mar-2018
200.08,15-Mar-2018
200.02,16-Mar-2018
200.55,19-Mar-2018
197.6,20-Mar-2018
205.25,21-Mar-2018
211.89,22-Mar-2018
211.0,26-Mar-2018
211.0,27-Mar-2018
209.56,28-Mar-2018
208.88,29-Mar-2018
209.4,30-Mar-2018
210.4,02-Apr-2018
207.5,03-Apr-2018
207.5,04-Apr-2018
210.0,05-Apr-2018
221.0,06-Apr-2018
218.0,09-Apr-2018
215.05,10-Apr-2018
217.0,11-Apr-2018
215.01,12-Apr-2018
209.6,13-Apr-2018
207.05,16-Apr-2018
208.99,17-Apr-2018
206.0,18-Apr-2018
198.01,19-Apr-2018
200.0,20-Apr-2018
198.0,23-Apr-2018
198.05,24-Apr-2018
200.79,25-Apr-2018
199.99,26-Apr-2018
197.0,27-Apr-2018
197.22,30-Apr-2018
196.0,02-May-2018
191.25,03-May-2018
183.1,04-May-2018
180.0,07-May-2018
177.05,08-May-2018
177.1,09-May-2018
177.01,10-May-2018
172.31,11-May-2018
175.5,14-May-2018
170.46,15-May-2018
170.95,16-May-2018
169.12,17-May-2018
169.0,18-May-2018
170.9,21-May-2018
171.0,22-May-2018
175.6,23-May-2018
174.0,24-May-2018
173.01,25-May-2018
173.95,28-May-2018
168.52,29-May-2018
174.0,30-May-2018
169.05,31-May-2018
165.0,01-Jun-2018
172.0,04-Jun-2018
175.0,05-Jun-2018
181.0,06-Jun-2018
190.0,07-Jun-2018
184.99,11-Jun-2018
187.03,12-Jun-2018
182.5,13-Jun-2018
183.6,14-Jun-2018
181.99,19-Jun-2018
179.39,20-Jun-2018
172.0,21-Jun-2018
167.78,22-Jun-2018
163.86,25-Jun-2018
165.79,26-Jun-2018
166.7,27-Jun-2018
164.1,28-Jun-2018
164.0,29-Jun-2018
167.89,02-Jul-2018
169.39,03-Jul-2018
166.5,04-Jul-2018
162.7,05-Jul-2018
163.89,06-Jul-2018
162.0,09-Jul-2018
157.05,10-Jul-2018
160.0,11-Jul-2018
158.3,12-Jul-2018
159.0,13-Jul-2018
170.0,16-Jul-2018
163.5,17-Jul-2018
164.5,18-Jul-2018
175.0,19-Jul-2018
175.0,20-Jul-2018
170.0,23-Jul-2018
167.0,24-Jul-2018
175.0,26-Jul-2018
173.49,27-Jul-2018
183.0,30-Jul-2018
185.52,31-Jul-2018
175.3,01-Aug-2018
176.95,02-Aug-2018
161.5,03-Aug-2018
162.7,06-Aug-2018
163.8,07-Aug-2018
161.25,08-Aug-2018
160.28,09-Aug-2018
161.98,10-Aug-2018
161.2,13-Aug-2018
158.88,15-Aug-2018
155.4,16-Aug-2018
152.02,17-Aug-2018
152.98,20-Aug-2018
155.0,24-Aug-2018
153.0,27-Aug-2018
153.9,28-Aug-2018
153.94,29-Aug-2018
154.0,30-Aug-2018
151.75,31-Aug-2018
151.5,03-Sep-2018
151.7,04-Sep-2018
152.3,05-Sep-2018
152.72,06-Sep-2018
154.9,07-Sep-2018
151.21,10-Sep-2018
148.89,11-Sep-2018
148.49,12-Sep-2018
147.0,13-Sep-2018
