Symbol,Date,Open,High,Low,Close,Volume
ATLH,03-Jan-2003,54.00,54.00,54.00,54.00,500
ATLH,06-Jan-2003,55.00,55.00,55.00,55.00,1500
ATLH,17-Jan-2003,59.00,59.00,58.00,58.00,7000
ATLH,23-Jan-2003,55.25,55.25,55.20,55.20,1500
ATLH,30-Jan-2003,56.00,56.00,56.00,56.00,500
ATLH,04-Feb-2003,58.00,58.00,57.00,57.00,3000
ATLH,20-Feb-2003,59.50,59.50,58.00,58.00,1500
ATLH,24-Feb-2003,61.50,61.50,61.50,61.50,1000
ATLH,26-Feb-2003,62.00,62.00,62.00,62.00,1000
ATLH,27-Feb-2003,65.00,66.65,65.00,66.65,1000
ATLH,03-Mar-2003,68.00,68.00,67.00,67.00,2000
ATLH,06-Mar-2003,67.00,65.00,65.00,65.00,1000
ATLH,07-Mar-2003,65.00,64.00,64.00,64.00,1000
ATLH,12-Mar-2003,64.00,65.00,65.00,65.00,1000
ATLH,19-Mar-2003,65.00,65.00,64.05,64.05,1500
ATLH,20-Mar-2003,64.05,65.50,65.05,65.05,2000
ATLH,24-Mar-2003,65.05,65.00,65.00,65.00,500
ATLH,25-Mar-2003,65.50,65.55,65.55,65.55,1000
ATLH,28-Mar-2003,67.50,69.60,69.60,69.60,500
ATLH,01-Apr-2003,70.50,70.00,70.00,70.00,500
ATLH,03-Apr-2003,70.50,74.00,74.00,74.00,500
ATLH,09-Apr-2003,74.00,75.00,75.00,75.00,2500
ATLH,10-Apr-2003,0.00,75.00,75.00,75.00,1000
ATLH,11-Apr-2003,75.00,75.00,75.00,75.00,500
ATLH,15-Apr-2003,75.00,77.00,77.00,77.00,500
ATLH,16-Apr-2003,77.00,80.00,80.00,80.00,5000
ATLH,18-Apr-2003,83.00,83.00,83.00,83.00,1000
ATLH,21-Apr-2003,86.00,88.00,86.00,86.50,2000
ATLH,22-Apr-2003,88.00,88.00,87.00,87.00,1000
ATLH,23-Apr-2003,88.00,89.00,88.00,89.00,2000
ATLH,28-Apr-2003,88.50,88.50,88.50,88.50,500
ATLH,29-Apr-2003,88.50,88.50,88.50,88.50,500
ATLH,05-May-2003,90.00,91.00,90.00,91.00,1500
ATLH,06-May-2003,91.00,91.00,86.50,86.50,3000
ATLH,16-May-2003,84.50,84.50,84.00,84.00,1000
ATLH,19-May-2003,84.00,84.00,84.00,84.00,500
ATLH,20-May-2003,84.00,84.00,84.00,84.00,500
ATLH,22-May-2003,84.50,84.50,84.50,84.50,1000
ATLH,23-May-2003,84.50,84.50,84.50,84.50,1500
ATLH,26-May-2003,83.90,83.90,80.30,80.30,2500
ATLH,27-May-2003,81.00,81.00,80.75,81.00,2500
ATLH,28-May-2003,80.00,80.00,78.00,78.00,1000
ATLH,29-May-2003,75.00,76.00,74.50,74.50,5000
ATLH,30-May-2003,73.00,73.00,71.00,71.00,5500
ATLH,02-Jun-2003,69.00,69.00,67.60,67.75,7500
ATLH,03-Jun-2003,71.00,71.00,66.75,66.75,3500
ATLH,04-Jun-2003,68.00,68.00,66.55,66.55,1500
ATLH,05-Jun-2003,70.70,71.00,70.70,71.00,3500
ATLH,06-Jun-2003,73.50,73.50,73.00,73.50,2000
ATLH,09-Jun-2003,71.50,71.50,71.50,71.50,500
ATLH,10-Jun-2003,73.00,73.90,73.00,73.90,8000
ATLH,11-Jun-2003,73.00,73.00,73.00,73.00,500
ATLH,13-Jun-2003,73.00,73.00,73.00,73.00,500
ATLH,17-Jun-2003,73.50,73.50,70.00,70.00,2000
ATLH,18-Jun-2003,73.00,75.25,73.00,75.25,2000
ATLH,19-Jun-2003,75.00,75.00,75.00,75.00,2000
ATLH,20-Jun-2003,75.00,75.00,75.00,75.00,1000
ATLH,25-Jun-2003,78.70,78.70,78.70,78.70,2000
ATLH,26-Jun-2003,75.00,81.00,75.00,81.00,7000
ATLH,27-Jun-2003,80.00,80.00,80.00,80.00,2000
ATLH,30-Jun-2003,80.00,80.00,80.00,80.00,1500
ATLH,01-Jul-2003,80.00,80.00,79.50,79.50,2500
ATLH,02-Jul-2003,79.00,79.00,78.00,78.00,1000
ATLH,07-Jul-2003,77.00,77.00,77.00,77.00,500
ATLH,08-Jul-2003,80.00,80.00,80.00,80.00,1000
ATLH,09-Jul-2003,81.00,81.00,79.00,79.00,2500
ATLH,10-Jul-2003,80.75,84.90,80.75,84.00,5500
ATLH,11-Jul-2003,86.00,86.00,84.50,86.00,2000
ATLH,14-Jul-2003,84.00,84.00,84.00,84.00,500
ATLH,15-Jul-2003,83.25,83.25,83.25,84.00,500
ATLH,16-Jul-2003,82.90,85.00,82.90,85.00,2000
ATLH,17-Jul-2003,83.50,83.50,83.30,83.30,1000
ATLH,18-Jul-2003,86.00,86.00,86.00,86.00,1000
ATLH,23-Jul-2003,86.00,87.00,86.00,87.00,3500
ATLH,24-Jul-2003,88.00,92.00,88.00,92.00,10000
ATLH,25-Jul-2003,91.00,93.00,91.00,93.00,1500
ATLH,28-Jul-2003,92.50,96.00,92.50,96.00,4500
ATLH,29-Jul-2003,98.90,98.90,96.50,96.50,2000
