Symbol,Date,Open,High,Low,Close,Volume
DCL,01-Jan-2003,6.40,6.55,6.35,6.45,21500
DCL,02-Jan-2003,6.45,6.45,6.30,6.30,6500
DCL,03-Jan-2003,6.45,6.50,6.40,6.50,42500
DCL,06-Jan-2003,6.40,6.50,6.40,6.40,18000
DCL,07-Jan-2003,6.40,6.40,6.30,6.30,47000
DCL,10-Jan-2003,6.70,6.70,6.30,6.30,27500
DCL,13-Jan-2003,6.50,6.60,6.50,6.55,17500
DCL,14-Jan-2003,6.40,6.40,6.40,6.40,13000
DCL,15-Jan-2003,6.50,6.65,6.50,6.65,9000
DCL,16-Jan-2003,6.40,6.60,6.40,6.45,51000
DCL,17-Jan-2003,6.35,6.45,6.35,6.45,29500
DCL,20-Jan-2003,6.35,6.35,6.35,6.35,1500
DCL,21-Jan-2003,6.30,6.30,6.00,6.00,24500
DCL,22-Jan-2003,6.00,6.00,5.85,6.00,16500
DCL,23-Jan-2003,6.20,6.20,5.55,5.55,15000
DCL,24-Jan-2003,5.10,5.10,5.00,5.00,4500
DCL,27-Jan-2003,5.70,5.70,5.70,5.70,6500
DCL,28-Jan-2003,5.60,5.75,5.30,5.30,10500
DCL,29-Jan-2003,5.75,5.75,5.25,5.55,11000
DCL,30-Jan-2003,5.50,5.50,5.45,5.45,2000
DCL,03-Feb-2003,5.15,5.15,4.80,4.80,18500
DCL,04-Feb-2003,5.10,5.10,5.10,5.10,500
DCL,06-Feb-2003,5.00,5.00,5.00,5.00,500
DCL,10-Feb-2003,4.90,4.90,4.85,4.85,1500
DCL,17-Feb-2003,5.20,5.20,5.20,5.20,2500
DCL,18-Feb-2003,5.45,5.50,5.45,5.45,3500
DCL,19-Feb-2003,5.30,5.30,5.25,5.25,3500
DCL,20-Feb-2003,4.75,4.75,4.75,4.75,1000
DCL,21-Feb-2003,5.00,5.00,5.00,5.00,1500
DCL,25-Feb-2003,4.80,4.80,4.80,4.80,5500
DCL,26-Feb-2003,5.00,5.10,4.80,4.80,3500
DCL,03-Mar-2003,5.00,5.00,4.85,4.85,4000
DCL,04-Mar-2003,4.85,5.10,4.90,5.10,6000
DCL,05-Mar-2003,4.90,4.90,4.90,4.90,3000
DCL,06-Mar-2003,4.90,5.00,4.85,5.00,3000
DCL,07-Mar-2003,5.00,4.85,4.85,4.85,1000
DCL,10-Mar-2003,4.85,5.25,5.20,5.25,3500
DCL,12-Mar-2003,5.25,5.05,5.05,5.05,500
DCL,17-Mar-2003,5.05,5.25,5.25,5.05,500
DCL,18-Mar-2003,5.05,4.75,4.75,4.75,2000
DCL,19-Mar-2003,4.75,5.00,4.95,5.00,4500
DCL,20-Mar-2003,5.00,5.00,5.00,5.00,1000
DCL,24-Mar-2003,5.20,5.20,5.00,5.00,5000
DCL,26-Mar-2003,5.00,5.00,5.00,5.00,1000
DCL,27-Mar-2003,5.00,5.10,4.95,5.00,16500
DCL,28-Mar-2003,5.00,5.25,5.10,5.20,8000
DCL,31-Mar-2003,5.20,5.25,4.70,5.00,40500
