Symbol,Date,Open,High,Low,Close,Volume
DEL,14-Apr-2008,34.25,42.40,34.10,39.50,6308500
DEL,15-Apr-2008,40.05,40.45,37.55,37.55,1500500
DEL,16-Apr-2008,35.75,36.35,35.70,35.70,937000
DEL,17-Apr-2008,36.50,37.45,36.15,36.50,2607500
DEL,18-Apr-2008,36.80,36.85,34.75,35.50,1199500
DEL,21-Apr-2008,35.55,35.70,34.10,34.10,649500
DEL,22-Apr-2008,34.10,34.10,32.40,32.50,721500
DEL,23-Apr-2008,32.60,32.65,30.90,30.90,599000
DEL,24-Apr-2008,30.20,32.05,29.85,30.00,1109500
DEL,25-Apr-2008,30.20,30.80,29.25,30.55,515500
DEL,28-Apr-2008,30.45,30.95,29.50,29.75,412000
DEL,29-Apr-2008,29.51,29.80,28.27,28.27,393000
DEL,30-Apr-2008,28.35,28.35,26.86,26.86,444500
DEL,02-May-2008,27.10,28.20,26.25,28.20,695500
DEL,05-May-2008,29.30,29.40,27.00,27.28,915500
DEL,06-May-2008,27.65,27.65,25.92,26.05,412000
DEL,07-May-2008,26.25,26.60,25.52,26.50,248500
DEL,08-May-2008,27.10,27.40,26.00,26.20,377500
DEL,09-May-2008,25.80,26.70,24.90,25.10,349500
DEL,12-May-2008,24.36,25.20,24.25,25.20,364000
DEL,13-May-2008,25.25,26.46,25.00,26.46,681500
DEL,14-May-2008,26.60,27.40,26.00,26.66,705000
DEL,15-May-2008,26.87,27.99,26.31,27.99,1090000
DEL,16-May-2008,27.90,28.40,27.25,27.50,1185500
DEL,19-May-2008,27.70,27.75,26.13,26.13,424500
DEL,20-May-2008,25.25,26.20,24.85,25.28,374000
DEL,21-May-2008,25.80,26.15,25.05,25.45,243000
DEL,22-May-2008,25.70,25.78,24.18,24.25,321000
DEL,23-May-2008,23.04,23.10,23.04,23.04,209500
DEL,26-May-2008,21.89,21.89,21.89,21.89,56000
DEL,27-May-2008,20.80,22.98,20.80,22.30,454500
DEL,28-May-2008,22.69,22.80,21.19,21.19,154000
DEL,29-May-2008,20.14,20.14,20.14,20.14,31500
DEL,30-May-2008,19.14,20.00,19.14,19.14,269000
