Symbol,Date,Open,High,Low,Close,Volume
FATIMA,08-Mar-2010,12.93,13.59,12.85,13.34,20170750
FATIMA,09-Mar-2010,13.48,13.48,12.90,13.00,2694829
FATIMA,10-Mar-2010,13.10,13.19,12.71,12.77,1168442
FATIMA,11-Mar-2010,12.95,13.20,12.61,12.69,3115052
FATIMA,12-Mar-2010,12.87,12.88,12.50,12.56,1400592
FATIMA,15-Mar-2010,12.60,12.66,12.41,12.50,1718601
FATIMA,16-Mar-2010,12.68,12.68,12.50,12.54,1092420
FATIMA,17-Mar-2010,12.60,12.71,12.47,12.50,975180
FATIMA,18-Mar-2010,12.55,12.65,12.47,12.50,786614
FATIMA,19-Mar-2010,12.47,12.99,12.47,12.70,2407950
FATIMA,22-Mar-2010,12.75,12.90,12.60,12.61,905446
FATIMA,24-Mar-2010,12.63,13.15,12.62,12.87,4273571
FATIMA,25-Mar-2010,12.81,13.00,12.75,12.79,1145239
FATIMA,26-Mar-2010,12.80,12.88,12.65,12.70,365608
FATIMA,29-Mar-2010,12.84,12.84,12.56,12.60,1437278
FATIMA,30-Mar-2010,12.79,12.80,12.49,12.52,1595308
FATIMA,31-Mar-2010,12.75,13.24,12.51,13.04,2455778
FATIMA,01-Apr-2010,12.99,12.99,12.75,12.77,383847
FATIMA,02-Apr-2010,12.91,12.91,12.65,12.69,394868
FATIMA,05-Apr-2010,12.79,12.79,12.54,12.64,891439
FATIMA,06-Apr-2010,12.70,12.70,12.50,12.51,1243867
FATIMA,07-Apr-2010,12.58,12.71,12.50,12.56,892885
FATIMA,08-Apr-2010,12.55,12.67,12.51,12.55,894620
FATIMA,09-Apr-2010,12.55,12.72,12.51,12.54,803305
FATIMA,12-Apr-2010,12.57,12.79,12.40,12.72,1833333
FATIMA,13-Apr-2010,12.61,12.98,12.61,12.85,2743599
FATIMA,14-Apr-2010,12.95,12.99,12.90,12.98,1484269
FATIMA,15-Apr-2010,12.99,12.99,12.65,12.69,577021
FATIMA,16-Apr-2010,12.76,12.76,12.52,12.56,490669
FATIMA,19-Apr-2010,12.54,12.74,12.53,12.55,387195
FATIMA,20-Apr-2010,12.73,12.80,12.54,12.70,767087
FATIMA,21-Apr-2010,12.83,12.85,12.53,12.80,1572447
FATIMA,22-Apr-2010,12.74,12.88,12.70,12.85,1175077
FATIMA,23-Apr-2010,12.80,12.93,12.75,12.81,623120
FATIMA,26-Apr-2010,12.88,12.90,12.60,12.81,727023
FATIMA,27-Apr-2010,12.89,12.89,12.60,12.71,589501
FATIMA,28-Apr-2010,12.75,12.75,12.41,12.51,539389
FATIMA,29-Apr-2010,12.69,12.69,12.41,12.49,558513
FATIMA,30-Apr-2010,12.45,12.50,12.25,12.35,692499
FATIMA,03-May-2010,12.42,12.42,12.03,12.09,2610407
FATIMA,04-May-2010,12.15,12.48,12.15,12.22,835015
FATIMA,05-May-2010,12.29,12.32,12.01,12.09,448902
FATIMA,06-May-2010,12.28,12.28,12.00,12.06,602146
FATIMA,07-May-2010,12.05,12.05,11.84,11.89,537087
FATIMA,10-May-2010,11.89,11.99,11.80,11.86,528503
FATIMA,11-May-2010,11.99,11.99,11.70,11.72,417446
FATIMA,12-May-2010,11.89,11.89,11.50,11.66,756138
FATIMA,13-May-2010,11.61,11.73,11.52,11.66,129548
FATIMA,14-May-2010,11.15,11.94,11.11,11.74,249866
FATIMA,17-May-2010,11.51,11.70,11.16,11.30,617141
FATIMA,18-May-2010,11.25,11.50,11.05,11.25,184454
FATIMA,19-May-2010,11.24,11.40,10.89,11.24,418912
FATIMA,20-May-2010,11.38,11.46,11.02,11.38,511244
FATIMA,21-May-2010,11.49,11.49,11.10,11.38,621670
FATIMA,24-May-2010,11.12,11.30,11.05,11.17,378012
FATIMA,25-May-2010,11.06,11.19,10.85,11.00,1893294
FATIMA,26-May-2010,11.00,11.09,10.81,11.05,832102
FATIMA,27-May-2010,11.24,11.24,10.85,11.10,1147285
FATIMA,28-May-2010,11.00,11.18,10.91,11.10,548021
FATIMA,31-May-2010,11.10,11.15,10.80,10.86,807284
FATIMA,01-Jun-2010,10.95,10.95,10.35,10.40,1090728
FATIMA,02-Jun-2010,10.50,11.13,9.80,11.05,629465
FATIMA,03-Jun-2010,11.19,11.49,10.90,11.30,612440
FATIMA,04-Jun-2010,11.45,11.50,11.10,11.36,321608
FATIMA,07-Jun-2010,11.49,12.36,11.24,12.26,956591
FATIMA,08-Jun-2010,12.50,12.55,12.00,12.25,463217
FATIMA,09-Jun-2010,12.24,12.45,11.90,11.95,224275
FATIMA,10-Jun-2010,11.95,11.95,10.97,11.01,226900
FATIMA,11-Jun-2010,10.60,11.50,10.60,11.41,205385
FATIMA,14-Jun-2010,11.05,11.28,10.80,11.16,534770
FATIMA,15-Jun-2010,10.90,11.32,10.90,11.16,151404
FATIMA,16-Jun-2010,11.25,11.78,11.20,11.55,682189
FATIMA,17-Jun-2010,11.50,11.95,11.50,11.84,3768668
FATIMA,18-Jun-2010,11.77,11.84,11.57,11.80,284051
FATIMA,21-Jun-2010,11.90,12.10,11.80,11.91,393306
FATIMA,22-Jun-2010,11.94,12.00,11.70,11.73,154703
FATIMA,23-Jun-2010,11.95,11.95,11.60,11.71,472459
FATIMA,24-Jun-2010,11.80,11.90,11.70,11.85,762165
FATIMA,25-Jun-2010,11.85,11.99,11.61,11.87,287657
FATIMA,28-Jun-2010,11.98,12.34,11.96,12.21,1233337
FATIMA,29-Jun-2010,12.20,12.80,12.00,12.39,537656
FATIMA,30-Jun-2010,12.35,12.70,12.15,12.53,937488
FATIMA,01-Jul-2010,12.70,12.70,12.45,12.46,68618
FATIMA,02-Jul-2010,12.50,12.50,12.28,12.30,65893
FATIMA,05-Jul-2010,12.30,12.30,12.01,12.05,31167
FATIMA,06-Jul-2010,12.16,12.30,12.00,12.01,87427
FATIMA,07-Jul-2010,12.00,12.20,12.00,12.15,102227
FATIMA,08-Jul-2010,12.24,12.24,11.95,12.02,200699
FATIMA,09-Jul-2010,12.02,12.20,11.81,11.90,389374
FATIMA,12-Jul-2010,12.09,12.09,11.75,11.79,53011
FATIMA,13-Jul-2010,11.94,11.94,11.75,11.76,53372
FATIMA,14-Jul-2010,11.80,11.87,11.70,11.72,106611
FATIMA,15-Jul-2010,11.84,11.84,11.65,11.66,120102
FATIMA,16-Jul-2010,11.65,11.67,11.41,11.57,1001545
FATIMA,19-Jul-2010,11.79,11.79,11.45,11.49,87221
FATIMA,20-Jul-2010,11.63,11.70,11.41,11.66,105259
FATIMA,21-Jul-2010,11.73,11.73,11.40,11.46,186180
FATIMA,22-Jul-2010,11.35,11.50,11.20,11.21,147116
FATIMA,23-Jul-2010,11.11,11.45,11.11,11.29,166943
FATIMA,26-Jul-2010,11.29,11.41,11.15,11.20,37635
FATIMA,27-Jul-2010,11.20,11.63,11.20,11.57,820376
FATIMA,28-Jul-2010,11.50,11.52,11.25,11.49,946366
FATIMA,29-Jul-2010,11.49,11.60,11.30,11.46,258608
FATIMA,30-Jul-2010,11.51,12.46,11.50,12.21,23629984
FATIMA,02-Aug-2010,12.10,12.10,11.75,12.03,499300
FATIMA,03-Aug-2010,12.00,12.05,11.91,12.01,177877
FATIMA,04-Aug-2010,12.00,12.04,11.88,11.98,283082
FATIMA,05-Aug-2010,11.99,12.04,11.86,12.00,188853
FATIMA,06-Aug-2010,11.98,11.98,11.74,11.82,205217
FATIMA,09-Aug-2010,11.75,11.80,11.00,11.25,276111
FATIMA,10-Aug-2010,11.49,11.49,10.76,11.10,416131
FATIMA,11-Aug-2010,11.40,11.45,11.11,11.29,95756
FATIMA,12-Aug-2010,11.05,11.37,10.80,11.01,569415
FATIMA,13-Aug-2010,11.34,11.34,10.90,11.00,288034
FATIMA,16-Aug-2010,11.23,11.23,10.00,10.00,280877
FATIMA,17-Aug-2010,10.45,10.47,9.92,10.36,441128
FATIMA,18-Aug-2010,10.65,10.75,9.85,9.91,261799
FATIMA,19-Aug-2010,10.15,10.25,10.01,10.24,121520
FATIMA,20-Aug-2010,10.30,10.65,10.10,10.25,316705
FATIMA,23-Aug-2010,10.44,10.50,10.25,10.42,142499
FATIMA,24-Aug-2010,10.45,10.45,9.90,10.02,97340
FATIMA,25-Aug-2010,10.18,10.28,9.30,9.85,281748
FATIMA,26-Aug-2010,9.70,9.70,9.02,9.44,272531
FATIMA,27-Aug-2010,9.70,9.78,9.31,9.56,148735
FATIMA,30-Aug-2010,9.75,9.90,9.25,9.35,128368
FATIMA,31-Aug-2010,9.50,9.75,9.46,9.60,778019
FATIMA,01-Sep-2010,9.50,9.60,9.25,9.41,222978
FATIMA,02-Sep-2010,9.42,9.60,9.20,9.58,106241
FATIMA,03-Sep-2010,9.50,9.60,9.40,9.47,84903
FATIMA,06-Sep-2010,9.50,9.50,9.20,9.25,197403
FATIMA,07-Sep-2010,9.26,9.26,9.11,9.17,31586
FATIMA,08-Sep-2010,9.30,10.17,9.25,9.88,384058
FATIMA,09-Sep-2010,9.90,10.01,9.60,9.87,198961
FATIMA,14-Sep-2010,9.85,10.48,9.75,10.36,501149
FATIMA,15-Sep-2010,10.50,10.50,9.51,10.00,490163
FATIMA,16-Sep-2010,10.02,10.12,9.49,9.97,888115
FATIMA,17-Sep-2010,9.65,10.00,9.52,9.63,141870
FATIMA,20-Sep-2010,9.75,9.75,9.27,9.55,536948
FATIMA,21-Sep-2010,9.60,10.20,9.50,10.01,536936
FATIMA,22-Sep-2010,10.02,10.44,9.80,10.22,824791
FATIMA,23-Sep-2010,10.10,11.00,9.91,10.76,1276184
FATIMA,24-Sep-2010,10.75,11.74,10.70,11.68,2844262
FATIMA,27-Sep-2010,11.45,11.50,10.86,10.94,425709
FATIMA,28-Sep-2010,11.14,11.14,10.90,10.93,124693
FATIMA,29-Sep-2010,11.13,11.17,10.86,11.13,661525
FATIMA,30-Sep-2010,10.90,11.30,10.90,11.24,436745
FATIMA,01-Oct-2010,11.05,11.10,10.90,11.08,39049
FATIMA,04-Oct-2010,10.71,11.20,10.70,10.79,134162
FATIMA,05-Oct-2010,10.87,10.90,10.51,10.51,59072
FATIMA,06-Oct-2010,10.70,10.70,10.25,10.25,68957
FATIMA,07-Oct-2010,10.45,10.45,10.01,10.40,215496
FATIMA,08-Oct-2010,10.25,10.55,10.25,10.30,75194
FATIMA,11-Oct-2010,10.55,10.88,10.41,10.60,1554786
FATIMA,12-Oct-2010,10.50,10.80,10.50,10.55,1199408
FATIMA,13-Oct-2010,10.55,10.74,10.53,10.64,21490
FATIMA,14-Oct-2010,10.60,10.70,10.50,10.56,60798
FATIMA,15-Oct-2010,10.55,10.80,10.17,10.80,121219
FATIMA,18-Oct-2010,10.55,10.65,10.35,10.55,54231
FATIMA,19-Oct-2010,10.33,10.50,9.55,9.60,6008500
FATIMA,20-Oct-2010,9.50,9.95,9.42,9.90,2134716
FATIMA,21-Oct-2010,9.85,10.11,9.72,9.99,3766421
FATIMA,22-Oct-2010,10.01,10.15,9.87,9.95,1167897
FATIMA,25-Oct-2010,9.85,10.10,9.85,10.00,2664798
FATIMA,26-Oct-2010,10.05,10.05,9.55,9.80,1071553
FATIMA,27-Oct-2010,9.96,9.96,9.67,9.78,381638
FATIMA,28-Oct-2010,9.70,9.85,9.55,9.62,521614
FATIMA,29-Oct-2010,9.52,9.81,9.50,9.54,1157321
FATIMA,01-Nov-2010,9.60,9.70,9.50,9.56,3953931
FATIMA,02-Nov-2010,9.52,9.68,9.50,9.60,262252
FATIMA,03-Nov-2010,9.60,9.73,9.50,9.66,364469
FATIMA,04-Nov-2010,9.75,9.78,9.61,9.72,263370
FATIMA,05-Nov-2010,9.80,9.80,9.61,9.71,235513
FATIMA,08-Nov-2010,9.80,9.90,9.75,9.78,439618
FATIMA,10-Nov-2010,9.80,9.95,9.75,9.90,678781
FATIMA,11-Nov-2010,10.00,10.29,9.92,10.05,3004374
FATIMA,12-Nov-2010,10.13,10.20,9.80,9.87,2189647
FATIMA,15-Nov-2010,9.82,9.98,9.81,9.86,58143
FATIMA,16-Nov-2010,9.99,9.99,9.70,9.74,735959
FATIMA,22-Nov-2010,9.65,10.00,9.62,9.91,581180
FATIMA,23-Nov-2010,9.85,9.92,9.79,9.84,254852
FATIMA,24-Nov-2010,9.89,9.99,9.80,9.92,632653
FATIMA,25-Nov-2010,9.99,10.01,9.85,9.94,976688
FATIMA,26-Nov-2010,9.99,9.99,9.75,9.79,271857
FATIMA,29-Nov-2010,9.80,9.92,9.65,9.69,380690
FATIMA,30-Nov-2010,9.65,9.85,9.65,9.71,232689
FATIMA,01-Dec-2010,9.71,10.24,9.65,10.18,3133262
FATIMA,02-Dec-2010,10.01,10.05,9.91,10.00,283814
FATIMA,03-Dec-2010,10.04,10.25,9.85,10.18,830704
FATIMA,06-Dec-2010,10.23,10.23,9.21,9.47,4557737
FATIMA,07-Dec-2010,9.73,9.80,9.60,9.65,823205
FATIMA,08-Dec-2010,9.79,10.21,9.75,10.11,5000963
FATIMA,09-Dec-2010,10.14,10.14,9.80,10.00,3741151
FATIMA,10-Dec-2010,10.10,10.10,9.80,9.86,129626
FATIMA,13-Dec-2010,9.98,9.98,9.78,9.85,519518
FATIMA,14-Dec-2010,9.90,9.96,9.75,9.80,159640
FATIMA,15-Dec-2010,9.75,9.90,9.72,9.80,540933
FATIMA,20-Dec-2010,9.75,9.94,9.52,9.54,1166422
FATIMA,21-Dec-2010,9.75,9.80,9.60,9.61,348577
FATIMA,22-Dec-2010,9.65,9.72,9.55,9.57,749495
FATIMA,23-Dec-2010,9.72,9.72,9.36,9.39,4728472
FATIMA,24-Dec-2010,9.60,10.02,9.16,9.98,6248824
FATIMA,27-Dec-2010,9.98,10.89,9.98,10.80,4489379
FATIMA,28-Dec-2010,10.65,11.39,10.55,10.99,6311919
FATIMA,29-Dec-2010,10.90,11.18,10.75,10.89,1005958
FATIMA,30-Dec-2010,10.99,11.04,10.75,10.94,1095717
FATIMA,31-Dec-2010,10.90,11.34,10.77,11.28,5629712
FATIMA,03-Jan-2011,10.99,10.99,10.56,10.67,468484
FATIMA,04-Jan-2011,10.66,11.25,10.60,11.18,2406673
FATIMA,05-Jan-2011,11.20,11.30,10.95,10.97,1764468
FATIMA,06-Jan-2011,11.00,11.10,10.85,11.07,782568
FATIMA,07-Jan-2011,11.07,11.25,11.00,11.21,1920137
FATIMA,10-Jan-2011,11.20,11.39,11.14,11.18,546407
FATIMA,11-Jan-2011,11.15,11.80,11.10,11.67,7402229
FATIMA,12-Jan-2011,11.62,11.79,11.39,11.66,3614839
FATIMA,13-Jan-2011,11.52,11.67,11.37,11.51,1421032
FATIMA,14-Jan-2011,11.59,12.00,11.46,11.97,10113240
FATIMA,17-Jan-2011,12.10,12.45,12.02,12.24,9553693
FATIMA,18-Jan-2011,12.35,12.64,12.10,12.40,6090316
FATIMA,19-Jan-2011,12.48,12.50,12.15,12.23,1120787
FATIMA,20-Jan-2011,12.30,12.42,12.10,12.27,3935612
FATIMA,21-Jan-2011,12.30,12.61,12.21,12.28,5092278
FATIMA,24-Jan-2011,12.41,12.45,12.00,12.06,1298051
FATIMA,25-Jan-2011,12.19,12.28,11.84,11.87,620023
FATIMA,26-Jan-2011,11.99,12.09,11.66,11.70,1058984
FATIMA,27-Jan-2011,11.85,11.95,11.77,11.87,1120360
FATIMA,28-Jan-2011,11.95,11.95,11.71,11.82,301185
FATIMA,31-Jan-2011,11.80,12.04,11.40,11.49,1118046
FATIMA,01-Feb-2011,11.64,11.64,10.70,10.96,1401440
FATIMA,02-Feb-2011,11.14,11.96,11.02,11.48,3001921
FATIMA,03-Feb-2011,11.56,11.97,11.50,11.87,1305209
FATIMA,04-Feb-2011,11.90,12.20,11.90,11.98,1451360
FATIMA,07-Feb-2011,11.99,12.15,11.97,12.11,436165
FATIMA,08-Feb-2011,12.12,12.12,11.96,12.02,246473
FATIMA,09-Feb-2011,12.05,12.05,11.90,11.91,1851377
FATIMA,10-Feb-2011,11.99,12.00,11.90,11.97,619384
FATIMA,11-Feb-2011,11.96,11.96,11.70,11.75,985900
FATIMA,14-Feb-2011,11.60,11.90,11.40,11.85,1638439
FATIMA,15-Feb-2011,11.95,12.40,11.80,11.91,2315470
FATIMA,17-Feb-2011,11.99,12.03,11.80,11.88,420125
FATIMA,18-Feb-2011,11.98,11.98,11.50,11.80,317769
FATIMA,21-Feb-2011,11.80,11.90,11.61,11.66,357753
FATIMA,22-Feb-2011,11.62,11.69,11.25,11.32,630332
FATIMA,23-Feb-2011,11.32,11.42,11.10,11.21,284907
FATIMA,24-Feb-2011,11.15,11.55,11.12,11.17,966746
FATIMA,25-Feb-2011,10.91,11.36,10.75,10.88,3191746
FATIMA,28-Feb-2011,10.95,11.88,10.95,11.64,1003107
FATIMA,01-Mar-2011,11.60,12.00,11.53,11.97,869444
FATIMA,02-Mar-2011,12.10,12.10,11.70,11.99,961029
FATIMA,03-Mar-2011,11.99,12.30,11.80,11.91,1887878
FATIMA,04-Mar-2011,11.95,12.08,11.82,11.97,2634790
FATIMA,07-Mar-2011,12.09,12.20,11.87,11.89,791527
FATIMA,08-Mar-2011,11.95,12.03,11.75,11.91,377697
FATIMA,09-Mar-2011,12.00,12.88,12.00,12.35,7696773
FATIMA,10-Mar-2011,12.47,12.60,12.08,12.16,1966296
FATIMA,11-Mar-2011,12.12,12.48,11.80,12.33,2750935
FATIMA,14-Mar-2011,12.33,12.95,12.33,12.57,4259298
FATIMA,15-Mar-2011,12.62,12.84,12.05,12.26,3771827
FATIMA,16-Mar-2011,12.40,12.55,12.12,12.30,830462
FATIMA,17-Mar-2011,12.48,13.30,12.35,13.10,10437294
FATIMA,18-Mar-2011,13.10,13.24,12.70,12.76,3379464
FATIMA,21-Mar-2011,12.70,12.75,12.51,12.55,536759
FATIMA,22-Mar-2011,12.60,12.95,12.55,12.61,1595516
FATIMA,24-Mar-2011,12.73,12.85,12.51,12.73,506656
FATIMA,25-Mar-2011,12.80,13.13,12.71,13.02,2344492
FATIMA,28-Mar-2011,13.02,13.53,13.02,13.31,8097009
FATIMA,29-Mar-2011,13.49,13.55,13.15,13.22,2115030
FATIMA,30-Mar-2011,13.30,13.60,13.00,13.43,3212165
FATIMA,31-Mar-2011,13.43,13.59,13.30,13.38,1336115
FATIMA,01-Apr-2011,13.40,13.49,13.25,13.32,533975
FATIMA,04-Apr-2011,13.35,13.44,13.03,13.06,569772
FATIMA,05-Apr-2011,13.03,13.25,12.98,13.22,713652
FATIMA,06-Apr-2011,13.25,13.40,13.13,13.16,731962
FATIMA,07-Apr-2011,13.20,13.25,13.04,13.15,458965
FATIMA,08-Apr-2011,13.20,13.29,13.16,13.23,316322
FATIMA,11-Apr-2011,13.18,13.22,13.10,13.14,304051
FATIMA,12-Apr-2011,13.06,13.11,13.01,13.06,370963
FATIMA,13-Apr-2011,13.06,13.10,12.95,13.00,395022
FATIMA,14-Apr-2011,13.05,13.29,12.91,13.09,1518345
FATIMA,15-Apr-2011,13.05,13.24,12.91,13.05,352193
FATIMA,18-Apr-2011,13.08,13.19,12.91,12.99,117301
FATIMA,19-Apr-2011,13.00,13.00,12.86,12.89,230800
FATIMA,20-Apr-2011,12.99,13.15,12.85,13.05,340792
FATIMA,21-Apr-2011,13.10,13.15,12.85,12.94,410991
FATIMA,22-Apr-2011,12.96,13.04,12.85,12.86,376532
FATIMA,25-Apr-2011,12.90,12.90,12.76,12.76,190633
FATIMA,26-Apr-2011,12.80,12.85,12.65,12.71,365468
FATIMA,27-Apr-2011,12.75,13.07,12.67,12.84,543465
FATIMA,28-Apr-2011,12.90,12.90,12.60,12.70,545256
FATIMA,29-Apr-2011,12.88,13.04,12.70,12.75,795645
FATIMA,02-May-2011,12.72,12.90,12.46,12.65,1346729
FATIMA,03-May-2011,12.65,12.97,12.51,12.83,3991649
FATIMA,04-May-2011,12.86,12.87,12.33,12.45,455960
FATIMA,05-May-2011,12.55,12.75,12.55,12.71,877566
FATIMA,06-May-2011,12.72,12.75,12.41,12.67,348692
FATIMA,09-May-2011,12.80,12.80,12.51,12.54,305076
FATIMA,10-May-2011,12.50,12.60,12.50,12.55,136330
FATIMA,11-May-2011,12.59,12.64,12.55,12.56,468716
FATIMA,12-May-2011,12.52,12.63,12.52,12.54,111266
FATIMA,13-May-2011,12.60,12.60,12.41,12.45,231091
FATIMA,16-May-2011,12.45,12.45,12.10,12.28,389818
FATIMA,17-May-2011,12.40,12.49,12.31,12.40,273732
FATIMA,18-May-2011,12.40,12.40,12.30,12.35,115446
FATIMA,19-May-2011,12.35,12.40,12.31,12.35,39350
FATIMA,20-May-2011,12.35,12.40,12.20,12.40,149101
FATIMA,23-May-2011,12.21,12.40,12.20,12.35,93687
FATIMA,24-May-2011,12.35,12.43,12.32,12.40,164173
FATIMA,25-May-2011,12.40,12.84,12.35,12.73,585998
FATIMA,26-May-2011,12.80,12.90,12.62,12.79,232459
FATIMA,27-May-2011,12.80,12.84,12.50,12.80,252911
FATIMA,30-May-2011,12.78,13.08,12.75,12.90,2544684
FATIMA,31-May-2011,12.76,12.94,12.75,12.90,348035
FATIMA,01-Jun-2011,12.94,13.75,12.94,13.46,8691396
FATIMA,02-Jun-2011,13.49,13.59,13.36,13.44,2981528
FATIMA,03-Jun-2011,13.55,13.85,13.32,13.55,3080224
FATIMA,06-Jun-2011,13.40,13.90,13.20,13.59,5990911
FATIMA,07-Jun-2011,13.65,13.85,13.55,13.71,1801438
FATIMA,08-Jun-2011,13.80,14.43,13.80,14.31,40118412
FATIMA,09-Jun-2011,14.40,14.69,14.35,14.52,5166165
FATIMA,10-Jun-2011,14.55,14.95,14.50,14.75,7879180
FATIMA,13-Jun-2011,14.78,14.90,14.40,14.50,1598096
FATIMA,14-Jun-2011,14.31,14.70,14.31,14.61,1328656
FATIMA,15-Jun-2011,14.78,14.85,14.50,14.57,4122062
FATIMA,16-Jun-2011,14.53,14.65,14.40,14.43,569518
FATIMA,17-Jun-2011,14.60,14.60,14.41,14.55,957142
FATIMA,20-Jun-2011,14.40,14.55,14.05,14.16,780070
FATIMA,21-Jun-2011,14.20,14.50,14.20,14.46,1430509
FATIMA,22-Jun-2011,14.55,14.64,14.33,14.52,2282087
