Symbol,Date,Open,High,Low,Close,Volume
JSBL,12-Mar-2007,18.00,19.25,16.10,17.85,8463500
JSBL,13-Mar-2007,18.20,18.30,17.65,17.65,4435500
JSBL,14-Mar-2007,17.40,17.40,16.65,16.65,2149500
JSBL,15-Mar-2007,16.25,16.60,15.65,15.75,7647000
JSBL,16-Mar-2007,15.85,16.50,15.85,16.00,4422000
JSBL,19-Mar-2007,16.15,16.15,15.00,15.00,7364000
JSBL,20-Mar-2007,14.80,15.05,14.10,14.60,4993000
JSBL,21-Mar-2007,14.75,14.80,14.00,14.10,2830500
JSBL,22-Mar-2007,14.05,14.20,13.85,14.00,1072000
JSBL,26-Mar-2007,14.00,14.10,13.45,13.45,925500
JSBL,27-Mar-2007,13.70,14.10,13.35,13.60,2478500
JSBL,28-Mar-2007,13.70,13.80,12.60,13.05,5256000
JSBL,29-Mar-2007,13.15,13.25,12.85,12.95,2365000
JSBL,30-Mar-2007,13.00,13.15,12.95,13.00,1181000
JSBL,02-Apr-2007,13.00,13.15,12.80,13.00,775500
JSBL,03-Apr-2007,13.00,13.10,12.90,13.00,956000
JSBL,04-Apr-2007,13.05,13.75,13.00,13.35,4946000
JSBL,05-Apr-2007,13.40,14.35,13.40,14.35,6948000
JSBL,06-Apr-2007,14.60,14.90,14.40,14.65,5863000
JSBL,09-Apr-2007,14.65,14.70,14.10,14.25,2234500
JSBL,10-Apr-2007,14.15,14.50,14.00,14.00,2055000
JSBL,11-Apr-2007,14.10,14.30,13.75,13.75,2926000
JSBL,12-Apr-2007,13.80,14.05,13.75,14.00,1784500
JSBL,13-Apr-2007,13.90,14.00,13.70,14.00,973000
JSBL,16-Apr-2007,14.05,14.10,13.90,14.00,1442000
JSBL,17-Apr-2007,14.00,14.05,13.70,13.80,1350500
JSBL,18-Apr-2007,13.85,14.00,13.80,13.85,1763000
JSBL,19-Apr-2007,13.90,13.90,13.65,13.75,946500
JSBL,20-Apr-2007,13.70,13.90,13.60,13.70,825500
JSBL,23-Apr-2007,13.75,13.90,13.60,13.85,846500
JSBL,24-Apr-2007,13.80,13.90,13.45,13.60,2132500
JSBL,25-Apr-2007,13.60,13.60,13.10,13.25,1808500
JSBL,26-Apr-2007,13.20,13.25,13.05,13.15,1354000
JSBL,27-Apr-2007,13.25,13.90,13.20,13.55,2522500
JSBL,30-Apr-2007,13.60,13.85,13.55,13.80,1658000
JSBL,02-May-2007,13.85,14.15,13.60,13.60,2374000
JSBL,03-May-2007,13.75,13.90,13.60,13.60,1391500
JSBL,04-May-2007,13.70,13.80,13.50,13.55,1238000
JSBL,07-May-2007,13.55,13.60,12.85,13.00,2289500
JSBL,08-May-2007,13.05,13.30,12.90,13.10,1141500
JSBL,09-May-2007,13.20,13.30,13.05,13.20,1538500
JSBL,10-May-2007,13.25,14.05,13.10,13.80,5907000
JSBL,11-May-2007,13.75,14.55,13.65,14.35,8948500
JSBL,14-May-2007,13.70,15.35,13.70,15.35,11978500
JSBL,15-May-2007,16.00,16.10,15.10,15.30,11824500
JSBL,16-May-2007,15.50,15.50,14.30,14.70,5841500
JSBL,17-May-2007,14.85,15.40,14.50,15.05,5584500
JSBL,18-May-2007,15.05,15.70,15.00,15.30,5562000
JSBL,21-May-2007,15.25,15.25,14.90,14.90,1807500
JSBL,22-May-2007,14.95,15.45,14.90,15.25,3220500
JSBL,23-May-2007,15.30,15.80,15.15,15.60,5920500
JSBL,24-May-2007,15.80,15.95,15.60,15.70,3886000
JSBL,25-May-2007,15.85,16.00,15.50,15.50,2703000
JSBL,28-May-2007,15.60,15.80,15.35,15.65,1932500
JSBL,29-May-2007,15.70,16.65,15.40,16.55,14785000
JSBL,30-May-2007,16.75,17.55,16.35,17.35,17756500
JSBL,31-May-2007,17.70,17.90,17.10,17.15,6042000
JSBL,01-Jun-2007,17.20,17.35,16.60,16.85,2738500
JSBL,04-Jun-2007,16.80,17.30,16.40,16.45,6736000
JSBL,05-Jun-2007,16.50,16.95,16.40,16.50,3252500
JSBL,06-Jun-2007,16.70,17.00,16.40,16.60,2881500
JSBL,07-Jun-2007,16.75,17.50,16.35,17.25,7557000
JSBL,08-Jun-2007,17.50,18.25,17.00,18.25,15276500
JSBL,11-Jun-2007,18.70,19.25,18.25,18.55,18159500
JSBL,12-Jun-2007,18.80,19.35,18.55,18.95,7456000
JSBL,13-Jun-2007,19.00,19.15,18.50,18.80,3839000
JSBL,14-Jun-2007,18.65,19.00,18.25,18.25,3862500
JSBL,15-Jun-2007,18.35,18.45,17.70,18.00,2827500
JSBL,18-Jun-2007,18.00,18.35,17.90,18.15,2616500
JSBL,19-Jun-2007,18.20,19.15,18.10,19.15,10327000
JSBL,20-Jun-2007,19.50,20.10,19.10,19.95,14559500
JSBL,21-Jun-2007,20.20,20.50,19.30,19.45,8107000
JSBL,22-Jun-2007,19.40,19.60,18.45,18.80,5708500
JSBL,25-Jun-2007,18.95,19.20,18.80,18.90,2622000
JSBL,26-Jun-2007,19.00,19.40,18.90,18.90,2114500
JSBL,27-Jun-2007,19.15,19.30,19.00,19.20,1571500
JSBL,28-Jun-2007,19.25,20.00,19.25,19.55,8007000
JSBL,29-Jun-2007,19.70,19.85,19.10,19.25,2345000
JSBL,02-Jul-2007,19.35,19.55,19.10,19.20,2090500
JSBL,03-Jul-2007,19.40,19.50,18.50,18.85,2494000
JSBL,04-Jul-2007,18.90,19.15,18.70,18.95,1520000
JSBL,05-Jul-2007,19.15,19.35,19.00,19.00,1594000
JSBL,06-Jul-2007,19.05,19.25,18.55,18.80,2216000
JSBL,09-Jul-2007,18.70,19.80,18.60,19.80,7488500
JSBL,10-Jul-2007,20.40,20.80,20.15,20.80,11633500
JSBL,11-Jul-2007,21.35,21.80,20.85,21.80,10730000
JSBL,12-Jul-2007,22.85,22.85,22.85,22.85,950000
JSBL,13-Jul-2007,23.95,23.95,22.50,23.45,17387000
JSBL,16-Jul-2007,23.55,23.55,22.35,22.35,6756000
JSBL,17-Jul-2007,21.65,22.75,21.55,22.25,4975500
JSBL,18-Jul-2007,21.75,22.15,21.15,21.15,3062500
JSBL,19-Jul-2007,20.55,20.85,20.10,20.10,2299500
JSBL,20-Jul-2007,19.10,19.45,19.10,19.10,3169000
JSBL,23-Jul-2007,19.50,20.10,19.40,20.10,2382000
JSBL,24-Jul-2007,21.00,21.10,20.25,20.35,7542500
JSBL,25-Jul-2007,20.50,20.50,19.35,19.75,2220000
JSBL,26-Jul-2007,19.95,20.20,19.25,19.25,2165500
JSBL,27-Jul-2007,19.30,19.60,19.00,19.10,1734500
JSBL,30-Jul-2007,19.40,19.50,18.80,19.10,1262500
JSBL,31-Jul-2007,19.10,19.70,19.10,19.45,1242000
JSBL,01-Aug-2007,19.75,19.90,19.20,19.50,1675000
JSBL,02-Aug-2007,19.60,20.25,19.55,20.10,2691500
JSBL,03-Aug-2007,20.30,20.45,19.50,19.70,2542000
JSBL,06-Aug-2007,19.65,19.85,18.70,18.80,2625000
JSBL,07-Aug-2007,19.00,19.00,17.80,17.80,3730000
JSBL,08-Aug-2007,18.20,18.40,17.10,18.05,9337500
JSBL,09-Aug-2007,17.05,17.30,17.05,17.10,2545500
JSBL,10-Aug-2007,17.70,17.95,17.00,17.40,3260000
JSBL,13-Aug-2007,17.70,17.70,16.70,16.90,1941000
JSBL,15-Aug-2007,17.20,17.35,16.75,17.20,1428000
JSBL,16-Aug-2007,17.40,17.40,16.85,17.10,1316500
JSBL,17-Aug-2007,17.15,17.25,16.75,16.90,850500
JSBL,20-Aug-2007,17.15,17.35,16.70,16.80,865500
JSBL,21-Aug-2007,16.80,16.90,15.80,15.80,1251500
JSBL,22-Aug-2007,16.05,16.05,14.80,15.55,2482000
JSBL,23-Aug-2007,15.80,15.90,15.00,15.15,1339000
JSBL,24-Aug-2007,14.90,15.15,14.50,15.00,1291000
JSBL,27-Aug-2007,14.95,15.25,14.65,15.10,639500
JSBL,28-Aug-2007,14.90,14.90,14.50,14.80,646500
JSBL,29-Aug-2007,14.85,15.60,14.75,15.60,1167000
JSBL,30-Aug-2007,15.60,16.15,15.60,16.00,1983000
JSBL,31-Aug-2007,15.95,16.20,15.50,16.00,1028000
JSBL,03-Sep-2007,15.65,15.65,15.20,15.35,726000
JSBL,04-Sep-2007,15.25,15.90,15.10,15.75,676500
JSBL,05-Sep-2007,16.00,16.50,15.85,16.45,1981500
JSBL,06-Sep-2007,16.60,16.60,16.00,16.10,1172000
JSBL,07-Sep-2007,16.20,16.20,15.60,15.60,599000
JSBL,10-Sep-2007,15.25,15.90,15.00,15.85,628500
JSBL,11-Sep-2007,16.00,16.05,15.50,15.70,528000
JSBL,12-Sep-2007,15.70,16.30,15.70,16.25,1295500
JSBL,13-Sep-2007,16.35,17.25,16.20,17.25,5249000
JSBL,14-Sep-2007,17.65,18.00,17.15,17.25,4221500
JSBL,17-Sep-2007,17.60,17.60,17.05,17.10,1103000
JSBL,18-Sep-2007,17.40,17.50,17.10,17.20,1429500
JSBL,19-Sep-2007,17.35,17.75,17.15,17.35,1792000
JSBL,20-Sep-2007,17.30,18.25,17.25,17.75,4365000
JSBL,21-Sep-2007,17.65,18.15,17.50,18.15,1597500
JSBL,24-Sep-2007,18.10,18.45,18.10,18.15,2159500
JSBL,25-Sep-2007,18.30,18.30,17.50,17.80,915500
JSBL,26-Sep-2007,17.70,18.05,17.40,17.55,1327000
JSBL,27-Sep-2007,17.70,17.80,17.50,17.75,891500
JSBL,28-Sep-2007,17.55,17.70,17.45,17.60,477500
JSBL,01-Oct-2007,18.00,18.60,17.95,18.60,4038500
JSBL,02-Oct-2007,18.90,19.10,18.70,18.75,2418000
JSBL,03-Oct-2007,18.80,19.00,18.30,18.75,949000
JSBL,04-Oct-2007,18.75,18.75,18.40,18.50,809000
JSBL,05-Oct-2007,18.55,19.50,18.55,19.25,3328500
JSBL,08-Oct-2007,19.90,20.25,19.25,20.25,4383000
JSBL,09-Oct-2007,17.50,17.70,17.10,17.25,2811000
JSBL,11-Oct-2007,17.05,17.20,16.80,16.85,1163000
JSBL,17-Oct-2007,16.75,17.15,16.30,16.70,1471500
JSBL,18-Oct-2007,16.75,17.25,16.70,17.20,1493500
JSBL,19-Oct-2007,16.50,18.20,16.50,17.70,4319500
JSBL,22-Oct-2007,18.00,18.60,17.70,18.00,5077500
JSBL,23-Oct-2007,17.90,18.20,17.40,17.70,2162000
JSBL,24-Oct-2007,17.65,17.90,16.95,17.10,1703500
JSBL,25-Oct-2007,17.20,17.40,17.10,17.20,560000
JSBL,26-Oct-2007,17.30,17.35,16.80,17.00,2181500
JSBL,29-Oct-2007,16.70,17.25,16.60,16.85,1142000
JSBL,30-Oct-2007,16.85,16.85,16.00,16.15,1068500
JSBL,31-Oct-2007,16.15,17.15,16.00,16.85,1493500
JSBL,01-Nov-2007,16.60,16.70,16.20,16.45,883000
JSBL,02-Nov-2007,16.15,17.20,16.05,16.90,2429500
JSBL,05-Nov-2007,16.20,16.90,15.90,16.30,2220500
JSBL,06-Nov-2007,16.50,16.75,15.90,16.60,1183500
JSBL,07-Nov-2007,16.85,17.25,16.75,17.20,2580500
JSBL,08-Nov-2007,17.15,17.15,16.50,16.90,1858500
JSBL,12-Nov-2007,17.10,17.45,16.75,17.25,4421000
JSBL,13-Nov-2007,17.40,17.55,17.00,17.00,1330000
JSBL,14-Nov-2007,17.10,17.15,16.50,16.70,914500
JSBL,15-Nov-2007,16.70,16.75,15.95,16.25,1244000
JSBL,16-Nov-2007,16.55,17.00,16.00,16.55,1703500
JSBL,19-Nov-2007,16.80,16.85,16.05,16.65,850000
JSBL,20-Nov-2007,16.60,16.80,16.40,16.45,429500
JSBL,21-Nov-2007,16.60,16.90,16.50,16.75,681000
JSBL,22-Nov-2007,16.85,16.90,16.60,16.85,493000
JSBL,23-Nov-2007,16.60,17.25,16.60,16.90,1667000
JSBL,26-Nov-2007,17.25,17.25,16.65,16.85,845000
JSBL,27-Nov-2007,16.95,17.00,16.60,16.80,514000
JSBL,28-Nov-2007,16.90,17.80,16.65,17.80,4267500
JSBL,29-Nov-2007,18.40,18.80,18.25,18.50,8867000
JSBL,30-Nov-2007,18.60,18.60,18.00,18.10,2647000
JSBL,03-Dec-2007,18.35,19.10,18.10,19.00,20510000
JSBL,04-Dec-2007,19.05,20.00,18.80,20.00,9651500
JSBL,05-Dec-2007,20.50,20.50,19.50,20.00,24516000
JSBL,06-Dec-2007,20.00,20.90,19.80,20.30,10234000
JSBL,07-Dec-2007,20.20,20.50,20.00,20.05,2520000
JSBL,10-Dec-2007,20.30,20.50,19.70,19.75,1673000
JSBL,11-Dec-2007,19.75,19.95,19.40,19.50,1216000
JSBL,12-Dec-2007,19.65,19.85,19.25,19.25,1177000
JSBL,13-Dec-2007,19.45,20.25,19.00,19.50,18923000
JSBL,14-Dec-2007,19.75,20.00,19.25,19.95,7190500
JSBL,17-Dec-2007,20.00,20.55,19.85,20.00,4459500
JSBL,18-Dec-2007,20.10,21.00,20.10,21.00,15984000
JSBL,19-Dec-2007,21.55,22.05,21.30,22.05,12263500
JSBL,24-Dec-2007,22.55,23.15,22.55,23.15,6072500
JSBL,26-Dec-2007,24.15,24.30,23.15,23.95,19275500
JSBL,27-Dec-2007,23.90,24.15,23.00,23.00,12342500
JSBL,31-Dec-2007,21.85,21.85,21.85,21.85,51000
JSBL,01-Jan-2008,20.80,20.80,20.80,20.80,637500
JSBL,02-Jan-2008,19.85,20.45,19.80,19.80,7062000
JSBL,03-Jan-2008,20.10,20.80,19.80,20.80,6835500
JSBL,04-Jan-2008,21.20,21.80,20.50,21.55,11844000
JSBL,07-Jan-2008,21.50,21.55,20.65,20.70,5702000
JSBL,08-Jan-2008,20.80,21.30,20.70,21.15,3282000
JSBL,09-Jan-2008,21.40,21.45,20.70,20.70,2138500
JSBL,10-Jan-2008,20.85,21.20,20.00,20.25,3798000
JSBL,11-Jan-2008,20.30,20.90,19.30,19.75,3375500
JSBL,14-Jan-2008,20.00,20.75,19.75,20.75,3959000
JSBL,15-Jan-2008,20.50,21.35,20.45,20.60,6298000
JSBL,16-Jan-2008,20.75,21.00,19.90,20.00,3273000
JSBL,17-Jan-2008,19.90,20.10,19.00,19.00,5893500
JSBL,18-Jan-2008,18.80,20.00,18.65,20.00,3947500
JSBL,21-Jan-2008,20.45,20.70,20.00,20.20,2815000
JSBL,22-Jan-2008,20.10,20.15,19.50,20.00,3068000
JSBL,23-Jan-2008,20.30,20.40,19.80,20.05,2411500
JSBL,24-Jan-2008,20.05,20.35,19.55,19.60,1482000
JSBL,25-Jan-2008,19.70,20.00,19.55,19.80,1683000
JSBL,28-Jan-2008,19.80,20.30,19.75,19.90,1683000
JSBL,29-Jan-2008,19.85,20.40,19.85,20.15,3251500
JSBL,30-Jan-2008,20.30,20.35,19.80,19.95,1933000
JSBL,31-Jan-2008,19.85,19.95,19.70,19.70,1012500
JSBL,01-Feb-2008,19.65,19.80,19.50,19.55,725500
JSBL,04-Feb-2008,19.65,19.75,19.40,19.45,783000
JSBL,06-Feb-2008,19.50,19.50,19.20,19.25,657000
JSBL,07-Feb-2008,19.30,19.40,18.85,18.90,958000
JSBL,08-Feb-2008,19.25,19.25,18.70,18.90,1004500
JSBL,11-Feb-2008,18.50,18.80,17.95,18.05,1107500
JSBL,12-Feb-2008,18.35,19.00,17.80,18.80,1863500
JSBL,13-Feb-2008,19.00,19.20,18.60,18.75,1446500
JSBL,14-Feb-2008,18.75,19.20,18.75,18.90,1560000
JSBL,15-Feb-2008,18.95,19.10,18.55,18.65,1329500
JSBL,19-Feb-2008,19.15,19.65,19.10,19.65,2370500
JSBL,20-Feb-2008,19.95,20.30,19.55,19.90,4908000
JSBL,21-Feb-2008,20.05,20.15,19.80,20.00,2977500
JSBL,22-Feb-2008,20.05,20.10,19.70,19.90,1339500
JSBL,25-Feb-2008,19.95,19.95,19.25,19.40,1044500
JSBL,26-Feb-2008,19.50,19.50,18.90,19.15,1215500
JSBL,27-Feb-2008,19.10,19.95,19.10,19.50,1765500
JSBL,28-Feb-2008,19.60,19.60,19.10,19.15,712000
JSBL,29-Feb-2008,19.15,19.40,18.90,19.00,1489500
JSBL,03-Mar-2008,19.10,19.35,18.85,19.15,1319000
JSBL,04-Mar-2008,19.25,19.30,18.40,18.80,1446500
JSBL,05-Mar-2008,18.65,18.95,18.45,18.95,2621000
JSBL,06-Mar-2008,19.00,19.60,18.90,19.35,3712000
JSBL,07-Mar-2008,19.50,20.35,19.10,20.05,8058000
JSBL,10-Mar-2008,20.20,20.20,19.45,19.45,1791000
