Symbol,Date,Open,High,Low,Close,Volume
KAPCO,14-Feb-2005,69.00,69.75,64.50,65.50,30928000
KAPCO,15-Feb-2005,66.00,66.25,64.75,65.05,7203000
KAPCO,16-Feb-2005,65.10,65.55,65.00,65.30,2357500
KAPCO,17-Feb-2005,65.40,65.75,65.00,65.15,2491500
KAPCO,18-Feb-2005,65.05,66.10,65.00,65.30,2874000
KAPCO,21-Feb-2005,65.80,67.50,65.40,66.00,5287000
KAPCO,22-Feb-2005,66.00,66.00,65.40,65.55,1184000
KAPCO,23-Feb-2005,65.40,66.00,65.25,65.60,1721000
KAPCO,24-Feb-2005,65.65,65.65,62.35,62.35,7340500
KAPCO,25-Feb-2005,60.00,60.60,59.25,59.25,3173000
KAPCO,28-Feb-2005,56.30,56.30,56.30,56.30,2112500
KAPCO,01-Mar-2005,53.50,60.50,53.50,60.50,31394500
KAPCO,02-Mar-2005,62.50,65.00,60.80,61.90,23211500
KAPCO,03-Mar-2005,62.35,64.45,62.05,63.35,8510500
KAPCO,04-Mar-2005,64.10,64.10,60.20,60.20,10742500
KAPCO,07-Mar-2005,59.00,61.80,59.00,59.25,7408000
KAPCO,08-Mar-2005,58.80,60.65,58.10,59.45,4602500
KAPCO,09-Mar-2005,59.80,62.45,59.05,60.45,7678500
KAPCO,10-Mar-2005,61.00,61.35,59.05,59.80,2705000
KAPCO,11-Mar-2005,59.65,60.00,59.10,59.10,1249000
KAPCO,14-Mar-2005,59.10,60.30,59.10,59.60,1671500
KAPCO,15-Mar-2005,59.60,59.80,58.50,59.15,1654000
KAPCO,16-Mar-2005,59.25,59.90,58.05,58.90,2462000
KAPCO,17-Mar-2005,58.40,58.65,56.00,56.00,2943000
KAPCO,18-Mar-2005,54.05,57.95,54.00,56.00,2290500
KAPCO,21-Mar-2005,55.00,55.50,53.20,53.20,2710500
KAPCO,22-Mar-2005,51.00,53.50,50.55,52.00,3050000
KAPCO,24-Mar-2005,50.25,52.90,49.40,49.40,2905500
KAPCO,25-Mar-2005,46.95,50.00,46.95,46.95,1345500
KAPCO,28-Mar-2005,44.65,49.50,44.65,44.65,5379500
KAPCO,29-Mar-2005,44.60,47.95,42.60,47.95,8090500
KAPCO,30-Mar-2005,51.50,51.50,51.50,51.50,306000
KAPCO,31-Mar-2005,55.35,55.35,49.35,50.40,10971500
KAPCO,01-Apr-2005,51.00,54.15,49.70,54.15,6884500
KAPCO,04-Apr-2005,55.10,58.20,54.85,58.20,6124500
KAPCO,05-Apr-2005,58.20,58.50,55.35,55.45,5976000
KAPCO,06-Apr-2005,55.40,56.80,53.15,54.50,4207500
KAPCO,07-Apr-2005,55.10,56.15,54.00,55.00,2922000
KAPCO,08-Apr-2005,55.35,55.50,53.00,53.95,3023000
KAPCO,11-Apr-2005,54.10,54.70,51.30,51.30,2693500
KAPCO,12-Apr-2005,48.75,48.75,48.75,48.75,352000
KAPCO,13-Apr-2005,46.35,52.40,46.35,52.40,7988500
KAPCO,14-Apr-2005,54.10,54.90,52.00,53.60,8218000
KAPCO,15-Apr-2005,55.50,55.75,52.30,52.80,5684000
KAPCO,18-Apr-2005,52.20,52.80,50.40,50.50,3356000
KAPCO,19-Apr-2005,50.00,51.50,48.00,48.00,3272500
KAPCO,20-Apr-2005,47.65,50.25,45.75,49.35,6014500
KAPCO,21-Apr-2005,50.00,50.70,48.10,48.75,2759500
KAPCO,25-Apr-2005,48.75,50.10,48.15,48.20,1867000
KAPCO,26-Apr-2005,48.00,49.50,47.50,49.05,1709000
KAPCO,27-Apr-2005,49.45,49.50,48.50,48.75,943500
KAPCO,28-Apr-2005,48.70,48.90,48.10,48.35,771500
KAPCO,29-Apr-2005,48.10,48.45,47.25,47.70,692500
KAPCO,02-May-2005,48.20,48.45,46.65,47.00,1182300
KAPCO,03-May-2005,46.50,47.60,46.25,47.50,1355800
KAPCO,04-May-2005,47.70,48.10,47.00,47.25,1060400
KAPCO,05-May-2005,47.50,49.00,47.15,48.90,2701500
KAPCO,06-May-2005,45.40,46.35,44.80,45.25,2361600
KAPCO,09-May-2005,44.50,46.80,44.10,45.80,7201500
KAPCO,10-May-2005,45.70,46.35,45.05,45.30,2504800
KAPCO,11-May-2005,45.15,45.70,44.90,45.05,2131900
KAPCO,12-May-2005,45.25,45.25,44.00,44.05,1990900
KAPCO,13-May-2005,44.35,44.35,42.90,42.95,1274900
KAPCO,16-May-2005,42.90,43.00,40.85,40.85,1548800
KAPCO,17-May-2005,39.60,40.50,39.10,40.00,3302600
KAPCO,18-May-2005,40.10,40.25,38.10,38.25,2314700
KAPCO,19-May-2005,38.15,39.60,37.25,39.50,3837000
KAPCO,20-May-2005,39.50,39.55,38.45,38.75,1359000
KAPCO,23-May-2005,37.25,38.05,36.85,36.85,2338100
KAPCO,24-May-2005,35.60,37.00,35.35,36.65,2766600
KAPCO,25-May-2005,37.05,37.85,36.40,36.65,2329300
KAPCO,26-May-2005,37.05,37.20,35.10,35.10,2018000
KAPCO,27-May-2005,35.10,36.40,34.70,35.40,2206400
KAPCO,30-May-2005,35.40,36.80,35.40,36.75,2520600
KAPCO,31-May-2005,36.50,36.70,36.00,36.35,1379900
KAPCO,01-Jun-2005,36.45,37.70,36.20,37.05,2743900
KAPCO,02-Jun-2005,37.55,38.90,37.55,38.90,4108800
KAPCO,03-Jun-2005,39.25,39.35,37.10,37.80,2233800
KAPCO,06-Jun-2005,35.95,37.25,35.95,36.90,1867700
KAPCO,07-Jun-2005,38.10,38.45,37.80,38.35,1702000
KAPCO,08-Jun-2005,38.40,38.40,37.15,37.20,1374400
KAPCO,09-Jun-2005,37.40,37.80,37.30,37.35,775800
KAPCO,10-Jun-2005,37.40,37.50,36.95,37.45,818900
KAPCO,13-Jun-2005,37.85,38.00,37.30,37.55,1432500
KAPCO,14-Jun-2005,37.65,37.75,37.00,37.00,619600
KAPCO,15-Jun-2005,37.35,38.75,37.20,38.60,5730400
KAPCO,16-Jun-2005,38.75,40.15,38.50,39.15,13158400
KAPCO,17-Jun-2005,39.50,39.60,38.20,38.50,4419000
KAPCO,20-Jun-2005,39.25,40.00,39.05,39.85,5668700
KAPCO,21-Jun-2005,39.75,40.15,39.10,39.70,3853000
KAPCO,22-Jun-2005,39.40,39.70,38.50,38.50,2093000
KAPCO,23-Jun-2005,38.25,38.50,37.45,38.20,1739700
KAPCO,24-Jun-2005,38.15,38.65,37.85,38.50,1354500
KAPCO,27-Jun-2005,38.50,38.70,37.75,37.80,673900
KAPCO,28-Jun-2005,38.15,38.35,37.55,38.00,1210500
KAPCO,29-Jun-2005,38.05,38.10,37.80,38.00,784800
KAPCO,30-Jun-2005,38.00,38.00,37.65,37.75,406100
KAPCO,01-Jul-2005,37.65,38.10,37.60,37.90,1221500
KAPCO,04-Jul-2005,37.85,38.25,37.65,38.05,2753000
KAPCO,05-Jul-2005,37.95,39.35,37.75,38.85,5339500
KAPCO,06-Jul-2005,38.85,39.55,38.60,39.20,5381000
KAPCO,07-Jul-2005,39.40,40.10,39.05,39.80,5417000
KAPCO,08-Jul-2005,39.55,40.85,39.40,40.05,6213000
KAPCO,11-Jul-2005,40.50,41.10,40.05,40.25,3969000
KAPCO,12-Jul-2005,40.25,40.45,39.50,39.60,1489000
KAPCO,13-Jul-2005,39.65,40.40,39.60,39.75,1047000
KAPCO,14-Jul-2005,39.75,40.20,39.65,39.75,931000
KAPCO,15-Jul-2005,39.75,40.00,39.50,39.85,1045000
KAPCO,18-Jul-2005,39.70,40.10,39.50,39.65,666000
KAPCO,19-Jul-2005,39.60,39.60,39.00,39.20,1040500
KAPCO,20-Jul-2005,39.00,39.65,39.00,39.60,926000
KAPCO,21-Jul-2005,39.50,39.95,39.25,39.50,1008500
KAPCO,22-Jul-2005,39.45,39.70,39.15,39.20,841500
KAPCO,25-Jul-2005,39.25,39.40,39.10,39.10,408000
KAPCO,26-Jul-2005,39.05,39.20,38.90,38.90,563500
KAPCO,27-Jul-2005,38.90,39.20,38.70,38.70,458500
KAPCO,28-Jul-2005,38.55,39.10,38.55,38.65,488000
KAPCO,29-Jul-2005,38.90,38.90,38.20,38.45,478000
KAPCO,01-Aug-2005,38.65,38.85,38.50,38.60,428500
KAPCO,02-Aug-2005,38.45,38.80,38.30,38.65,519500
KAPCO,03-Aug-2005,38.75,39.00,38.60,38.70,630500
KAPCO,04-Aug-2005,38.70,38.75,38.45,38.60,482500
KAPCO,05-Aug-2005,38.30,38.65,38.10,38.55,464500
KAPCO,08-Aug-2005,38.80,38.80,38.10,38.40,831000
KAPCO,09-Aug-2005,38.25,38.30,37.85,37.90,804500
KAPCO,10-Aug-2005,38.00,38.00,37.50,38.00,669500
KAPCO,11-Aug-2005,37.55,37.80,37.35,37.40,675500
KAPCO,12-Aug-2005,36.80,37.70,36.80,37.55,546000
KAPCO,15-Aug-2005,37.60,38.15,37.60,38.15,578000
KAPCO,16-Aug-2005,38.00,38.10,37.75,37.80,248500
KAPCO,17-Aug-2005,37.75,37.90,37.60,37.60,294500
KAPCO,19-Aug-2005,37.95,38.90,37.95,38.50,1281500
KAPCO,22-Aug-2005,39.90,40.10,39.30,39.95,1795000
KAPCO,23-Aug-2005,40.05,40.30,39.75,39.75,1688500
KAPCO,24-Aug-2005,39.70,39.90,39.50,39.55,518000
KAPCO,25-Aug-2005,39.55,39.70,39.50,39.65,494000
KAPCO,26-Aug-2005,39.55,39.70,39.50,39.65,479500
KAPCO,29-Aug-2005,39.75,39.75,39.50,39.70,425500
KAPCO,30-Aug-2005,39.70,39.80,39.50,39.65,623500
KAPCO,31-Aug-2005,39.75,40.60,39.70,40.35,2423000
KAPCO,01-Sep-2005,40.55,40.85,40.25,40.80,2334000
KAPCO,02-Sep-2005,40.90,42.80,40.85,42.80,6018500
KAPCO,05-Sep-2005,43.70,44.45,43.35,44.00,5229500
KAPCO,06-Sep-2005,44.10,44.15,43.10,43.45,3593000
KAPCO,07-Sep-2005,45.60,45.60,45.60,45.60,803500
KAPCO,08-Sep-2005,47.75,47.75,46.30,46.75,6855500
KAPCO,09-Sep-2005,46.80,47.15,46.15,46.15,2147000
KAPCO,12-Sep-2005,46.50,46.50,45.40,45.40,1938000
KAPCO,13-Sep-2005,45.10,45.75,45.00,45.25,1311000
KAPCO,14-Sep-2005,45.25,45.45,45.15,45.20,776500
KAPCO,15-Sep-2005,45.35,47.25,45.35,47.00,6232500
KAPCO,16-Sep-2005,47.30,47.85,46.80,47.30,3333500
KAPCO,19-Sep-2005,47.50,48.40,47.05,48.00,3785000
KAPCO,20-Sep-2005,48.45,48.50,47.85,47.90,1920500
KAPCO,21-Sep-2005,48.00,48.05,47.50,47.60,1687500
