Symbol,Date,Open,High,Low,Close,Volume
KASBB,06-Mar-2003,8.10,8.25,8.25,8.25,1500
KASBB,07-Mar-2003,8.25,8.25,8.25,8.25,500
KASBB,10-Mar-2003,8.25,8.10,8.05,8.05,2500
KASBB,11-Mar-2003,8.05,8.05,8.00,8.00,4500
KASBB,12-Mar-2003,8.00,8.25,8.00,8.00,15000
KASBB,17-Mar-2003,8.00,7.55,7.55,7.55,1500
KASBB,18-Mar-2003,7.55,8.00,7.65,8.00,5500
KASBB,19-Mar-2003,8.00,7.75,7.70,7.70,2000
KASBB,24-Mar-2003,7.55,7.55,7.55,7.55,1500
KASBB,25-Mar-2003,7.55,7.95,7.75,7.75,5000
KASBB,26-Mar-2003,7.80,8.05,7.75,8.05,2500
KASBB,27-Mar-2003,7.50,7.50,7.50,7.50,6000
KASBB,28-Mar-2003,7.60,7.80,7.75,7.75,2500
KASBB,31-Mar-2003,7.75,8.65,8.00,8.50,5000
KASBB,01-Apr-2003,8.50,8.05,7.75,7.75,9000
KASBB,02-Apr-2003,7.75,7.95,7.80,7.80,3000
KASBB,03-Apr-2003,7.80,8.00,7.75,7.80,1500
KASBB,07-Apr-2003,7.80,7.50,7.50,7.50,5500
KASBB,08-Apr-2003,7.50,7.95,7.55,7.95,14000
KASBB,09-Apr-2003,7.95,8.25,7.75,8.25,31500
KASBB,10-Apr-2003,8.25,8.40,8.15,8.25,2500
KASBB,11-Apr-2003,8.25,8.30,8.20,8.20,3500
KASBB,14-Apr-2003,8.20,8.25,8.00,8.00,9000
KASBB,15-Apr-2003,8.00,8.25,8.15,8.15,2500
KASBB,16-Apr-2003,8.15,8.15,8.05,8.05,15000
KASBB,17-Apr-2003,8.05,9.00,8.25,8.65,101000
KASBB,18-Apr-2003,8.75,9.00,8.60,8.60,52500
KASBB,21-Apr-2003,8.75,9.25,8.75,9.20,68500
KASBB,22-Apr-2003,9.35,10.00,9.20,9.20,39500
KASBB,23-Apr-2003,9.00,9.05,8.70,8.70,5500
KASBB,24-Apr-2003,8.50,8.75,8.35,8.60,19000
KASBB,25-Apr-2003,8.30,8.60,8.30,8.60,1000
KASBB,29-Apr-2003,8.75,8.80,8.50,8.80,9500
KASBB,30-Apr-2003,8.80,9.15,8.80,8.90,13000
KASBB,02-May-2003,8.70,8.90,8.70,8.90,3500
KASBB,05-May-2003,9.00,9.00,9.00,9.00,10000
KASBB,06-May-2003,8.80,9.00,8.75,9.00,3500
KASBB,07-May-2003,9.00,9.10,8.75,8.75,17500
KASBB,08-May-2003,8.75,8.90,8.70,8.80,15000
