Symbol,Date,Open,High,Low,Close,Volume
MCB,01-Jan-2003,33.40,33.70,32.45,32.50,828854
MCB,02-Jan-2003,32.50,32.90,32.40,32.70,707115
MCB,03-Jan-2003,32.85,33.75,32.85,33.50,4117000
MCB,06-Jan-2003,33.90,34.45,33.65,33.85,5424510
MCB,07-Jan-2003,34.15,34.65,33.75,34.20,9544670
MCB,08-Jan-2003,34.40,34.55,33.85,34.10,2679840
MCB,09-Jan-2003,34.30,36.65,34.15,36.65,16344300
MCB,10-Jan-2003,37.75,39.35,37.25,39.35,9435180
MCB,13-Jan-2003,41.10,42.30,40.15,41.00,10262100
MCB,14-Jan-2003,41.00,43.35,40.75,42.50,13538300
MCB,15-Jan-2003,43.05,44.30,43.05,43.70,6111470
MCB,16-Jan-2003,43.50,43.75,42.25,42.70,2186170
MCB,17-Jan-2003,43.00,43.25,41.35,41.35,1671940
MCB,20-Jan-2003,41.35,42.00,40.85,41.00,873518
MCB,21-Jan-2003,41.45,42.10,38.95,38.95,2039130
MCB,22-Jan-2003,38.00,38.60,37.05,37.45,1333600
MCB,23-Jan-2003,38.00,38.40,35.60,35.60,1074700
MCB,27-Jan-2003,36.90,38.15,36.00,38.15,2123720
MCB,28-Jan-2003,39.40,39.40,36.25,36.40,2454940
MCB,29-Jan-2003,35.50,36.80,34.60,35.50,1305530
MCB,30-Jan-2003,36.00,37.10,34.80,35.40,3597630
MCB,31-Jan-2003,35.65,35.80,33.75,34.10,1914630
MCB,03-Feb-2003,33.50,34.95,32.40,34.85,2994860
MCB,05-Feb-2003,34.00,36.90,33.80,34.80,6643480
MCB,06-Feb-2003,35.15,35.90,34.50,35.15,1802770
MCB,07-Feb-2003,35.35,36.10,34.70,34.85,4528070
MCB,10-Feb-2003,34.00,34.60,33.15,33.20,3249010
MCB,17-Feb-2003,34.10,34.60,33.70,34.25,1952970
MCB,18-Feb-2003,34.55,36.60,34.45,34.55,4233200
MCB,19-Feb-2003,34.95,35.45,34.25,34.35,1130830
MCB,20-Feb-2003,34.35,34.95,32.90,34.10,1413440
MCB,21-Feb-2003,34.20,34.50,33.65,33.95,1242290
