Symbol,Date,Open,High,Low,Close,Volume
MEBL,01-Jan-2003,11.50,11.60,11.50,11.55,11500
MEBL,02-Jan-2003,11.50,11.90,11.50,11.80,16500
MEBL,03-Jan-2003,11.70,11.85,11.70,11.85,6500
MEBL,06-Jan-2003,11.60,11.85,11.60,11.85,11500
MEBL,07-Jan-2003,11.60,11.60,11.60,11.60,5000
MEBL,08-Jan-2003,11.20,11.20,11.20,11.20,3000
MEBL,09-Jan-2003,11.60,11.80,11.60,11.80,10500
MEBL,10-Jan-2003,11.60,11.80,11.60,11.80,10000
MEBL,13-Jan-2003,11.70,11.70,11.70,11.70,5000
MEBL,14-Jan-2003,11.70,11.90,11.70,11.90,11500
MEBL,15-Jan-2003,11.70,12.10,11.70,12.10,14000
MEBL,16-Jan-2003,11.90,12.10,11.90,12.10,13000
MEBL,17-Jan-2003,11.90,11.90,11.90,11.90,8500
MEBL,20-Jan-2003,11.70,12.00,11.70,12.00,25000
MEBL,21-Jan-2003,11.75,11.75,11.75,11.75,5000
MEBL,23-Jan-2003,11.10,11.10,11.10,11.10,500
MEBL,24-Jan-2003,11.05,11.05,10.75,10.75,10500
MEBL,27-Jan-2003,11.25,11.25,11.25,11.25,1500
MEBL,28-Jan-2003,11.35,11.50,11.00,11.00,15000
MEBL,29-Jan-2003,11.25,11.50,11.20,11.50,16000
MEBL,30-Jan-2003,11.30,11.70,11.30,11.70,13500
MEBL,31-Jan-2003,11.60,11.60,11.60,11.60,2500
MEBL,03-Feb-2003,10.75,11.00,10.75,11.00,2500
MEBL,04-Feb-2003,11.25,11.25,11.25,11.25,1500
MEBL,17-Feb-2003,11.30,11.30,11.30,11.30,3000
MEBL,18-Feb-2003,11.40,11.80,11.40,11.80,9500
MEBL,21-Feb-2003,11.70,11.90,11.70,11.90,3000
MEBL,24-Feb-2003,11.50,11.50,11.50,11.50,5000
MEBL,25-Feb-2003,11.50,11.70,11.50,11.70,6000
MEBL,26-Feb-2003,11.50,11.70,11.50,11.50,5000
MEBL,27-Feb-2003,11.50,11.50,11.50,11.50,1000
MEBL,03-Mar-2003,12.50,13.55,11.75,13.50,108500
MEBL,04-Mar-2003,13.50,12.60,12.50,12.50,19000
MEBL,05-Mar-2003,12.20,12.70,12.05,12.05,20000
MEBL,06-Mar-2003,12.05,12.40,11.80,12.00,17500
MEBL,07-Mar-2003,12.00,11.90,11.50,11.90,4000
MEBL,10-Mar-2003,11.90,12.00,11.50,12.00,5500
MEBL,12-Mar-2003,11.95,11.95,11.25,11.25,13000
MEBL,17-Mar-2003,11.25,11.90,11.90,11.90,2500
MEBL,20-Mar-2003,11.85,11.50,11.50,11.50,7000
MEBL,26-Mar-2003,11.80,11.80,11.80,11.80,500
MEBL,27-Mar-2003,11.45,11.45,11.40,11.40,11000
MEBL,01-Apr-2003,11.40,11.50,11.50,11.50,5000
MEBL,04-Apr-2003,11.50,11.50,11.50,11.50,5500
MEBL,09-Apr-2003,11.50,11.25,11.00,11.25,2500
MEBL,11-Apr-2003,0.00,11.50,11.25,11.50,11500
